Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),16/434,4.664553260167398e-10,4.743850665590245e-07,0,0,8.877648667122351,190.74390630945257,PDGFRB;CD74;CLIC4;FLT1;MCTP1;ANXA1;IGFBP5;TPM1;RDX;LDB2;MYLK;CLDN5;PECAM1;FLNA;TMSB10;SASH1
GO_Biological_Process_2023,Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752),4/12,2.823818698304803e-07,0.00014359118080879924,0,0,103.60416666666669,1562.3514066482542,DOCK4;IGFBP5;TPM1;PRKG1
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),10/316,4.145254077825968e-06,0.001405241132383,0,0,7.114742193173566,88.17688802042134,APP;MYO1E;TPM3;TPM2;TPM1;KRT14;ELMO1;LMOD1;MYH11;MYL9
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),6/94,7.663921581396761e-06,0.001613759697907,0,0,14.370406189555126,169.26882409056034,TPM3;TPM2;TPM1;LMOD1;MYH11;MYLK
GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),7/144,7.933921818618834e-06,0.001613759697907,0,0,10.857938937289068,127.5195772873616,MYO1E;TPM3;TPM2;TPM1;ELMO1;LMOD1;FLNA
GO_Biological_Process_2023,Negative Regulation Of Homotypic Cell-Cell Adhesion (GO:0034111),3/10,1.4187907246385926e-05,0.0024048502782624,0,0,87.89248895434463,981.1544503878058,RDX;CD9;PRKG1
GO_Biological_Process_2023,Negative Regulation Of Cell Migration (GO:0030336),7/163,1.7796480193903016e-05,0.0025855743367427,0,0,9.526330300523847,104.18480528163748,CLDN5;CD74;GJA1;CLIC4;MCTP1;IGFBP5;TPM1
GO_Biological_Process_2023,Cytoplasmic Sequestering Of Protein (GO:0051220),3/13,3.344768461719186e-05,0.0038680764309356,0,0,61.51546391752577,633.9493354046144,NFKBIA;PTPRM;FLNA
GO_Biological_Process_2023,Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705),4/37,3.423076487553643e-05,0.0038680764309356,0,0,25.08459595959596,257.92949230262207,GJA1;IGFBP5;TPM1;PRKG1
GO_Biological_Process_2023,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),3/14,4.241532244475955e-05,0.004313638292632,0,0,55.9203373945642,563.0060062434084,IGFBP5;TPM1;PRKG1
GO_Biological_Process_2023,Negative Regulation Of Cell Motility (GO:2000146),6/133,5.5177797510520165e-05,0.005101438188018,0,0,9.937845535265538,97.4400776329841,CLDN5;CD74;CLIC4;MCTP1;IGFBP5;TPM1
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),3/16,6.478177589668101e-05,0.0054902555072437,0,0,47.312450436161775,456.30427675438654,PDGFRB;DOCK4;IGFBP5
GO_Biological_Process_2023,Aorta Morphogenesis (GO:0035909),3/17,7.837829876798801e-05,0.0059358126198939,0,0,43.930780559646536,415.3199946350019,PDGFRB;ADAMTS9;MYLK
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),4/46,8.17122681204673e-05,0.0059358126198939,0,0,19.700396825396822,185.42617125575265,PDGFRB;TPM1;LMOD1;MYL9
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),9/364,8.799714563535265e-05,0.0059662064740769,0,0,5.445132332456276,50.847768397719584,NFKBIA;ACTA2;APP;CLDN5;CD74;GJA1;ANXA2;RDX;KLF4
GO_Biological_Process_2023,Endothelial Cell Development (GO:0001885),3/20,0.00012997496316054035,0.0082615335958918,0,0,36.1728320194057,323.6806038860264,RDX;PECAM1;ICAM1
GO_Biological_Process_2023,Regulation Of Plasma Membrane Repair (GO:1905684),2/5,0.0002450871709985121,0.0138474251614159,0,0,135.35374149659864,1125.3170126751409,ANXA2;S100A10
GO_Biological_Process_2023,Positive Regulation Of Vesicle Fusion (GO:0031340),2/5,0.0002450871709985121,0.0138474251614159,0,0,135.35374149659864,1125.3170126751409,ANXA1;ANXA2
GO_Biological_Process_2023,Myeloid Cell Development (GO:0061515),3/27,0.0003251243529193447,0.0169391597684236,0,0,25.61340206185567,205.70898832313847,APP;ANXA2;FLNA
GO_Biological_Process_2023,Establishment Of Endothelial Barrier (GO:0061028),3/28,0.00036282137198050867,0.0169391597684236,0,0,24.587628865979383,194.773359177925,RDX;PECAM1;ICAM1
GO_Biological_Process_2023,Bleb Assembly (GO:0032060),2/6,0.0003664321680484968,0.0169391597684236,0,0,101.51020408163264,803.1179907171842,EMP1;MYLK
GO_Biological_Process_2023,Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280),2/6,0.0003664321680484968,0.0169391597684236,0,0,101.51020408163264,803.1179907171842,CD74;ANXA1
GO_Biological_Process_2023,Maintenance Of Blood-Brain Barrier (GO:0035633),3/29,0.0004032210189685461,0.01782938157787,0,0,23.640761300555116,184.7767981808264,CLDN5;GJA1;PECAM1
GO_Biological_Process_2023,Cell-Cell Junction Assembly (GO:0007043),4/71,0.0004421954336138499,0.0185371305404026,0,0,12.333955223880595,95.26449293118738,CLDN5;GJA1;CD9;PKP4
GO_Biological_Process_2023,Positive Regulation Of Protein Metabolic Process (GO:0051247),6/196,0.0004556816750344803,0.0185371305404026,0,0,6.621500559910414,50.943945287059414,NIBAN1;NFKBIA;APP;RDX;KLF4;SOX4
GO_Biological_Process_2023,Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087),3/31,0.0004924436798304106,0.019260201351171,0,0,21.949926362297496,167.17350275311443,ANXA1;RDX;PLCB1
GO_Biological_Process_2023,Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),2/7,0.0005113327792346296,0.019260201351171,0,0,81.20408163265306,615.4043164173056,DOCK4;IGFBP5
GO_Biological_Process_2023,Regulation Of Vesicle Fusion (GO:0031338),2/8,0.0006795551666861537,0.0209426546824187,0,0,67.66666666666667,493.5655481733249,ANXA1;ANXA2
GO_Biological_Process_2023,Negative Regulation Of Platelet Aggregation (GO:0090331),2/8,0.0006795551666861537,0.0209426546824187,0,0,67.66666666666667,493.5655481733249,CD9;PRKG1
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),9/480,0.0006757000304575697,0.0209426546824187,0,0,4.079722824945755,29.781002883368213,NIBAN1;ACTA2;APP;CLDN5;CD74;GJA1;RDX;KLF4;SOX4
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),4/77,0.0006019463184977087,0.0209426546824187,0,0,11.316780821917808,83.91780339915707,TPM1;LMOD1;MYH11;MYL9
GO_Biological_Process_2023,Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173),3/33,0.0005934098642840978,0.0209426546824187,0,0,20.484536082474225,152.19242604001315,NFKBIA;APP;KLF4
