Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),20/93,2.477240603187521e-48,2.179971730805018e-46,0,0,398140.0,43642888.16632282,RPL5;RPL3;RPL10;RPL32;RPS8;RPL34;RPL12;RPS6;RPL11;RPS14;RPL7A;RPL18A;RPS18;RPL13;RPS2;RPL15;RPS27A;RPS13;RPL19;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),20/158,2.5674833012167898e-43,1.1296926525353876e-41,0,0,396840.0,38917397.52016699,RPL5;RPL3;RPL10;RPL32;RPS8;RPL34;RPL12;RPS6;RPL11;RPS14;RPL7A;RPL18A;RPS18;RPL13;RPS2;RPL15;RPS27A;RPS13;RPL19;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),20/183,5.792258601275105e-42,1.6990625230406972e-40,0,0,396340.0,37633296.13259183,RPL5;RPL3;RPL10;RPL32;RPS8;RPL34;RPL12;RPS6;RPL11;RPS14;RPL7A;RPL18A;RPS18;RPL13;RPS2;RPL15;RPS27A;RPS13;RPL19;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),20/234,1.0076684244725048e-39,2.2168705338395108e-38,0,0,395320.0,35497039.70223292,RPL5;RPL3;RPL10;RPL32;RPS8;RPL34;RPL12;RPS6;RPL11;RPS14;RPL7A;RPL18A;RPS18;RPL13;RPS2;RPL15;RPS27A;RPS13;RPL19;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),20/296,1.326681763759263e-37,2.334959904216303e-36,0,0,394080.0,33462502.24441872,RPL5;RPL3;RPL10;RPL32;RPS8;RPL34;RPL12;RPS6;RPL11;RPS14;RPL7A;RPL18A;RPS18;RPL13;RPS2;RPL15;RPS27A;RPS13;RPL19;RPS23
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),7/118,1.511705740876295e-11,2.217168419951899e-10,0,0,96.3846153846154,2401.441716697278,RPL5;RPS14;RPS8;RPS6;RPL11;RPS13;RPS23
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),7/155,1.0435574552652094e-10,1.3119008009048347e-09,0,0,72.15384615384616,1658.3273898075745,RPL5;RPS14;RPS8;RPS6;RPL11;RPS13;RPS23
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),5/84,1.7088905885869356e-08,1.8797796474456294e-07,0,0,83.9704641350211,1501.7980103455711,RPS14;RPS8;RPS6;RPS13;RPS23
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),4/50,1.625405693597923e-07,1.5892855670735246e-06,0,0,108.33695652173913,1693.55994485308,RPL5;RPS14;RPL10;RPL11
GO_Biological_Process_2023,Ribosomal Large Subunit Assembly (GO:0000027),3/22,1.3009213387008683e-06,1.1448107780567645e-05,0,0,185.39628482972137,2512.5716226669324,RPL5;RPL10;RPL11
GO_Biological_Process_2023,rRNA Processing (GO:0006364),4/101,2.7890620881860675e-06,2.231249670548854e-05,0,0,51.24484536082474,655.4115890417039,RPL5;RPS14;RPS6;RPL11
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),4/150,1.3411863838960954e-05,9.835366815238032e-05,0,0,33.96232876712329,381.0359624409137,RPL5;RPS14;RPL10;RPL11
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),3/54,2.0530658518209544e-05,0.00013897676535403383,0,0,68.95847750865052,744.3096195574882,RPL5;RPL10;RPL11
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),2/8,2.650430025143172e-05,0.0001665984587232851,0,0,369.8888888888889,3897.964407357134,RPL5;RPL11
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),3/91,9.821177076997982e-05,0.0005761757218505483,0,0,39.8903743315508,368.12371156267426,RPL5;RPS6;RPL11
GO_Biological_Process_2023,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),2/17,0.0001280437171265482,0.0006354331532293084,0,0,147.88888888888889,1325.548639908665,RPL5;RPL11
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),2/17,0.0001280437171265482,0.0006354331532293084,0,0,147.88888888888889,1325.548639908665,RPL5;RPL11
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),3/100,0.00012997496316054035,0.0006354331532293084,0,0,36.1728320194057,323.6806038860264,RPL5;RPS6;RPL11
GO_Biological_Process_2023,Regulation Of Protein Neddylation (GO:2000434),2/18,0.00014396293387323563,0.0006667756937286703,0,0,138.63888888888889,1226.393330101256,RPL5;RPL11
GO_Biological_Process_2023,Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),2/25,0.00028109904986625353,0.0012368358194115,0,0,96.41062801932368,788.3307567801231,RPL5;RPL11
GO_Biological_Process_2023,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",2/30,0.00040637445946356223,0.0017029024967996,0,0,79.17460317460318,618.2139479571657,RPS14;RPS8
GO_Biological_Process_2023,Maturation Of SSU-rRNA (GO:0030490),2/38,0.0006535983868982156,0.0026143935475928,0,0,61.55555555555556,451.387965030658,RPS14;RPS8
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),2/39,0.0006885154392429702,0.0026343199414513,0,0,59.888888888888886,436.0493719555131,RPL5;RPL11
GO_Biological_Process_2023,Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058),2/42,0.0007985794740225155,0.0029281247380825,0,0,55.388888888888886,395.07100210657006,RPL5;RPL11
GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),2/47,0.0009996316450557327,0.0035187033905961,0,0,49.22222222222222,340.0331999878986,RPL5;RPL11
GO_Biological_Process_2023,Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321),2/54,0.0013177506939226,0.0044600792717381,0,0,42.58119658119658,282.3912150075315,RPL5;RPL11
GO_Biological_Process_2023,Negative Regulation Of Catabolic Process (GO:0009895),2/72,0.0023284906232039,0.0075891546237757,0,0,31.603174603174605,191.59535285451057,RPL5;RPL11
GO_Biological_Process_2023,Embryonic Brain Development (GO:1990403),1/5,0.0049904406959516,0.0156842421872766,0,0,262.8421052631579,1393.123889480945,RPL10
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),1/8,0.0079733565142536,0.0241950128708385,0,0,150.17293233082708,725.5830081396662,RPS27A
GO_Biological_Process_2023,Negative Regulation Of RNA Metabolic Process (GO:0051253),1/11,0.0109477797028559,0.0321134871283775,0,0,105.10526315789474,474.5101770765117,RPS13
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),1/17,0.0168712348172723,0.0470605419511666,0,0,65.67105263157895,268.0787715603985,RPS14
