Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Microglial Cell Activation (GO:0001774),5/20,4.125948781479833e-08,5.326599876890465e-05,0,0,69.7719298245614,1186.3589670673543,C1QA;GRN;TYROBP;C5AR1;AIF1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),5/26,1.7094597065811905e-07,0.00010904282599443212,0,0,49.822055137844615,776.3231922691941,FCER1G;HLA-DRA;CTSD;CTSS;LGMN
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),5/28,2.533915398786185e-07,0.00010904282599443212,0,0,45.48512585812357,690.8430996254966,FCER1G;HLA-DRA;CTSD;CTSS;LGMN
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),5/31,4.329043041940791e-07,0.000139719864178639,0,0,40.23076923076923,589.4913692416433,FCER1G;HLA-DRA;CTSD;CTSS;LGMN
GO_Biological_Process_2023,Positive Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051044),4/14,5.666707862160507e-07,0.0001463143970009843,0,0,82.875,1192.031512125974,IL1B;SNX9;APOE;TNFRSF1B
GO_Biological_Process_2023,Regulation Of Plasminogen Activation (GO:0010755),4/16,1.022429274849078e-06,0.00021999269897169329,0,0,69.05555555555556,952.506005361108,CTSZ;PLAUR;THBS1;S100A10
GO_Biological_Process_2023,Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043),4/21,3.2983007697773018e-06,0.0006083008991117852,0,0,48.7328431372549,615.1109724012736,IL1B;SNX9;APOE;TNFRSF1B
GO_Biological_Process_2023,Regulation Of Cell Development (GO:0060284),5/52,6.093936633241793e-06,0.0009834090241893944,0,0,22.231802911534153,266.96429755989936,GRN;ANXA2;IL1B;CTNNB1;S100A10
GO_Biological_Process_2023,Regulation Of Blood Coagulation (GO:0030193),4/29,1.2693395108987412e-05,0.0014897430077911,0,0,33.125,373.4654530043152,PLAUR;EMILIN2;APOE;THBS1
GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),6/102,1.2273346665327405e-05,0.0014897430077911,0,0,13.16755319148936,148.8997525909875,CTSZ;APOE;CTSD;CTSS;LGMN;CTSB
GO_Biological_Process_2023,Positive Regulation Of Proteolysis (GO:0045862),5/59,1.1418514477399644e-05,0.0014897430077911,0,0,19.34307992202729,220.1295580852784,IL1B;SNX9;APOE;TNFRSF1B;CTSS
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),10/379,2.0186940929383385e-05,0.0020835686547144,0,0,5.881059921710328,63.57704920622235,MAP2K1;FTH1;APLP2;IL1B;CTNNB1;APOE;AIF1;THBS1;S100A11;MTSS1
GO_Biological_Process_2023,Positive Regulation Of Cellular Component Organization (GO:0051130),6/113,2.2032840058889972e-05,0.0020835686547144,0,0,11.807317558162657,126.60958855863468,LGALS3;GPX1;ANXA2;APOE;FNIP2;S100A10
GO_Biological_Process_2023,Positive Regulation Of Neuron Death (GO:1901216),4/34,2.4314384792332625e-05,0.0020835686547144,0,0,27.59722222222222,293.2050983415092,C1QA;GRN;TYROBP;CTNNB1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),8/236,2.4426017458864716e-05,0.0020835686547144,0,0,7.502669717772693,79.6773148169111,IL1B;C5AR1;CYBB;CD14;LYZ;AIF1;THBS1;NFKB1
GO_Biological_Process_2023,Astrocyte Activation (GO:0048143),3/12,2.5822694403897266e-05,0.0020835686547144,0,0,68.35395189003437,722.1087027443646,C1QA;GRN;C5AR1
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),11/482,2.91883054495627e-05,0.0022165942550226,0,0,5.098380209451562,53.23597294309627,RNF144B;GRN;GPX1;ANXA5;PLAUR;CTNNB1;APOE;THBS1;NFKB1;IER3;LGMN
GO_Biological_Process_2023,Receptor-Mediated Endocytosis (GO:0006898),6/122,3.399754060013557e-05,0.0024383791619319,0,0,10.886280264123258,112.01135843336408,MSR1;RAB31;FCER1G;MRC1;SNX9;APOE
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),3/16,6.478177589668101e-05,0.0041816636341307,0,0,47.312450436161775,456.30427675438654,DOCK4;AIF1;S100A11
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),10/434,6.338904385604248e-05,0.0041816636341307,0,0,5.10377358490566,49.334195858690144,SDCBP;GRN;MCTP1;APLP2;IL1B;EMILIN2;LDLRAD4;SRGAP1;AIF1;THBS1
GO_Biological_Process_2023,Regulation Of Nervous System Development (GO:0051960),4/46,8.17122681204673e-05,0.0050233589592153,0,0,19.700396825396822,185.42617125575265,IL1B;CTNNB1;TNFRSF1B;S100A10
