cell_type,term,adjusted_p_value,overlap,genes,combined_score
B cell,Microglial Cell Activation (GO:0001774),1.3349936504612363e-06,4/20,C1QA;GRN;TYROBP;AIF1,6074.863967903783
B cell,Positive Regulation Of Neuron Death (GO:1901216),0.0007263807565427586,3/34,C1QA;GRN;TYROBP,1385.7666714337506
B cell,Cell Junction Disassembly (GO:0150146),0.0007263807565427586,2/5,C1QB;C1QC,8557.579526684436
B cell,Glycolipid Transport (GO:0046836),0.0007263807565427586,2/5,NPC2;PSAP,8557.579526684436
B cell,Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455),0.0007263807565427586,2/5,C1QB;C1QC,8557.579526684436
B cell,Synapse Pruning (GO:0098883),0.0016918578327163,2/8,C1QB;C1QC,3897.964407357134
B cell,Macrophage Activation Involved In Immune Response (GO:0002281),0.0018361949517414,2/11,GRN;TYROBP,2432.2381677726335
B cell,Cellular Response To Thyroid Hormone Stimulus (GO:0097067),0.0018361949517414,2/11,CTSS;CTSB,2432.2381677726335
B cell,Neutrophil Activation Involved In Immune Response (GO:0002283),0.0018361949517414,2/11,FCER1G;TYROBP,2432.2381677726335
B cell,Positive Regulation Of Interleukin-6 Production (GO:0032755),0.0018361949517414,3/76,CD74;TYROBP;AIF1,469.9644989426725
"CD4-positive, alpha-beta T cell",Cytoplasmic Translation (GO:0002181),3.903414551337641e-19,11/93,RPS15A;RPL32;RPS8;RPS18;RPL11;RPL35A;RPL37;RPS27A;RPL39;RPS21;RPS23,14145.667779460664
"CD4-positive, alpha-beta T cell",Peptide Biosynthetic Process (GO:0043043),8.378747658717112e-17,11/158,RPS15A;RPL32;RPS8;RPS18;RPL11;RPL35A;RPL37;RPS27A;RPL39;RPS21;RPS23,6865.351929158693
"CD4-positive, alpha-beta T cell",Macromolecule Biosynthetic Process (GO:0009059),2.9233688829844453e-16,11/183,RPS15A;RPL32;RPS8;RPS18;RPL11;RPL35A;RPL37;RPS27A;RPL39;RPS21;RPS23,5627.123721068226
"CD4-positive, alpha-beta T cell",Translation (GO:0006412),3.432697888136599e-15,11/234,RPS15A;RPL32;RPS8;RPS18;RPL11;RPL35A;RPL37;RPS27A;RPL39;RPS21;RPS23,4031.150901952523
"CD4-positive, alpha-beta T cell",Gene Expression (GO:0010467),3.735352575659373e-14,11/296,RPS15A;RPL32;RPS8;RPS18;RPL11;RPL35A;RPL37;RPS27A;RPL39;RPS21;RPS23,2923.8357572598884
"CD4-positive, alpha-beta T cell",Ribonucleoprotein Complex Biogenesis (GO:0022613),3.191925779638917e-06,5/118,RPS15A;RPS8;RPL11;RPL35A;RPS23,947.720034591558
"CD4-positive, alpha-beta T cell",Ribosome Biogenesis (GO:0042254),1.0672571561793034e-05,5/155,RPS15A;RPS8;RPL11;RPL35A;RPS23,652.6357527737483
"CD4-positive, alpha-beta T cell",B Cell Activation (GO:0042113),4.847333497617023e-05,4/92,CD79B;CD79A;BANK1;MS4A1,743.8773248744081
"CD4-positive, alpha-beta T cell",B Cell Receptor Signaling Pathway (GO:0050853),0.00028344920929326074,3/46,CD79B;CD79A;MS4A1,922.8993354216932
"CD4-positive, alpha-beta T cell",B Cell Differentiation (GO:0030183),0.000830490418284906,3/68,CD79B;CD79A;MS4A1,546.0410101028511
"CD8-positive, alpha-beta T cell",Cytoplasmic Translation (GO:0002181),5.275978839832844e-12,8/93,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23,4927.301601773486
"CD8-positive, alpha-beta T cell",Peptide Biosynthetic Process (GO:0043043),2.0127643322093423e-10,8/158,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23,2400.987005566438
"CD8-positive, alpha-beta T cell",Macromolecule Biosynthetic Process (GO:0009059),4.396133844692332e-10,8/183,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23,1965.8620266785515
"CD8-positive, alpha-beta T cell",Translation (GO:0006412),2.372487775027428e-09,8/234,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23,1403.3209068427332
"CD8-positive, alpha-beta T cell",Gene Expression (GO:0010467),1.2345363796041141e-08,8/296,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23,1012.406705262009
"CD8-positive, alpha-beta T cell",B Cell Activation (GO:0042113),1.2323952359662848e-06,5/92,CD79B;CD79A;MEF2C;BANK1;MS4A1,1328.0493067733955
"CD8-positive, alpha-beta T cell",B Cell Receptor Signaling Pathway (GO:0050853),4.5032240192696855e-06,4/46,CD79B;CD79A;MEF2C;MS4A1,1895.8045656441736
"CD8-positive, alpha-beta T cell",B Cell Proliferation (GO:0042100),0.00012883847891921704,3/31,CD79A;MEF2C;MS4A1,1570.2116644461864
"CD8-positive, alpha-beta T cell",Lymphocyte Proliferation (GO:0046651),0.00021397561110376225,3/38,CD79A;MEF2C;MS4A1,1192.8681197467536
"CD8-positive, alpha-beta T cell",Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.00023445160039295776,4/134,CD79B;CD79A;MEF2C;MS4A1,445.29459530078253
endothelial cell,B Cell Activation (GO:0042113),0.0004876129538196926,4/92,CD79B;CD79A;BANK1;MS4A1,743.8773248744081
endothelial cell,Regulation Of Plasma Membrane Repair (GO:1905684),0.0010692489974329,2/5,ANXA2;S100A10,8557.579526684436
endothelial cell,B Cell Receptor Signaling Pathway (GO:0050853),0.0010692489974329,3/46,CD79B;CD79A;MS4A1,922.8993354216932
