cell_type,category,loocv_error,null_distance,ratio,n_pca_components,better_than_chance
B cell,Immune,9.432000091152728,26.10854919706972,0.36126098083655006,32,True
"CD4-positive, alpha-beta T cell",Immune,11.394335445818697,26.79264170290643,0.4252785362550739,33,True
"CD8-positive, alpha-beta T cell",Immune,6.20800804782988,27.493279303639643,0.22580093044804755,33,True
T cell,Immune,11.68799411661414,27.245742713934895,0.42898423578801137,33,True
adventitial cell,Structural,9.394134556255397,30.64886747872366,0.3065083746659407,32,True
basal cell,Stem/Progenitor,11.647439187653335,28.814374769374023,0.4042232143115271,32,True
bladder urothelial cell,Epithelial,11.336974841480934,28.223472633356884,0.4016860359019726,32,True
classical monocyte,Immune,12.536617276502403,27.90794069170986,0.44921326926233734,33,True
endothelial cell,Structural,8.078711756497137,25.905305011571187,0.3118554965050054,32,True
enterocyte of epithelium of large intestine,Epithelial,11.047944383171462,31.190696930409263,0.3542063971132465,32,True
epithelial cell,Epithelial,9.717687887678547,24.863627050692035,0.3908395129908479,32,True
fibroblast,Structural,8.266405047742957,27.795716986458235,0.29739851833180836,33,True
fibroblast of cardiac tissue,Structural,12.329059856865566,30.427765815265943,0.40519109854197516,32,True
granulocyte,Immune,11.189133012703579,29.996227462350298,0.3730180079060807,32,True
hematopoietic precursor cell,Stem/Progenitor,16.37728498257525,27.361084341909134,0.5985612550263611,33,True
hematopoietic stem cell,Stem/Progenitor,24.901131854859635,31.268400284898508,0.7963673110224948,32,True
hepatocyte,Epithelial,14.992766011114021,26.969791864183,0.5559095927256685,32,True
intermediate monocyte,Immune,10.260716094504483,28.753284387177896,0.3568537060441032,33,True
large intestine goblet cell,Epithelial,14.288189593724676,31.64755324751731,0.45147849130629264,32,True
luminal epithelial cell of mammary gland,Epithelial,7.76671244774926,27.468322711828073,0.2827516091619549,32,True
macrophage,Immune,10.007721294098461,24.758326221604012,0.40421639187247504,33,True
mature NK T cell,Immune,9.72152954148909,28.78196816914079,0.3377645852555781,33,True
mesenchymal stem cell,Stem/Progenitor,11.8551980501566,29.80252228368507,0.3977917686734369,33,True
mesenchymal stem cell of adipose tissue,Stem/Progenitor,12.83699647025859,32.401870432937415,0.39618072348099453,33,True
monocyte,Immune,9.617524506410374,26.741396969673662,0.3596492927171015,33,True
myeloid dendritic cell,Immune,9.761315232629244,26.41332279986633,0.369560289956349,32,True
myeloid leukocyte,Immune,11.731148388620298,26.443526408967546,0.44363025593447414,33,True
natural killer cell,Immune,6.6198894154971155,26.22446505903925,0.2524318189367726,33,True
neutrophil,Immune,17.226394191752007,32.023388444702526,0.537931650221783,32,True
non-classical monocyte,Immune,7.59188772808045,27.340840544412657,0.27767572528533396,32,True
pancreatic acinar cell,Epithelial,26.13189655441489,33.46132986677265,0.7809580987504043,32,True
pancreatic ductal cell,Epithelial,10.621564599554855,27.45507929823098,0.38687065821875943,32,True
plasma cell,Immune,14.853431192148271,25.443920940167818,0.5837713152417264,32,True
smooth muscle cell,Structural,11.642510329582056,27.2300303671244,0.42756141556266475,32,True
stromal cell,Structural,17.045309049844512,29.910520098445804,0.5698767187512133,32,True
