cell_type,rigidity_rank,residual_magnitude,n_loading_genes,n_drug_targets,drug_target_density,mean_phastcons_targets,mean_phastcons_nontargets,conservation_ratio,mean_phastcons_all,target_genes
"CD8-positive, alpha-beta T cell",1,5.3762488830814785,50,4,0.08,0.057946,0.151592,0.3823,0.1441,"CXCR4, CD3E, CD2, ITK"
non-classical monocyte,2,5.89287705793573,50,5,0.1,0.11621,0.125631,0.925,0.124689,"TBXAS1, LYN, C5AR1, TYMP, HCK"
endothelial cell,3,5.971302732274846,50,7,0.14,0.130384,0.163185,0.799,0.158593,"VWF, FLT1, EPAS1, CALCRL, A2M, BMPR2, APP"
hepatocyte,4,6.058641994458259,50,6,0.12,0.149948,0.129885,1.1545,0.132292,"CPS1, C3, PAH, ADRA1A, PLG, TTR"
smooth muscle cell,5,6.705379907369501,50,3,0.06,0.266213,0.144805,1.8384,0.15209,"DMD, A2M, FN1"
pancreatic ductal cell,6,6.787640413838285,50,5,0.1,0.17359,0.146408,1.1857,0.149126,"CFTR, PNLIP, PDE3A, SCTR, ERBB4"
bladder urothelial cell,7,7.3981093005447205,50,3,0.06,0.174546,0.116984,1.492,0.120438,"PPARG, TACSTD2, PDE10A"
fibroblast,8,7.507943223117857,50,3,0.06,0.104455,0.150971,0.6919,0.14818,"CFD, SERPING1, C3"
granulocyte,9,7.932489173190314,50,0,0.0,,0.117804,,0.117804,
adventitial cell,10,8.080278679217866,50,3,0.06,0.104455,0.141193,0.7398,0.138988,"CFD, C3, SERPING1"
mature NK T cell,11,8.274654323291125,50,1,0.02,0.093897,0.12965,0.7242,0.128935,CXCR4
intermediate monocyte,12,8.427986266571045,50,3,0.06,0.138079,0.138452,0.9973,0.13843,"C5AR1, TBXAS1, MAP2K1"
natural killer cell,13,8.686951760199305,50,1,0.02,0.093897,0.125476,0.7483,0.124845,CXCR4
monocyte,14,8.722374107298508,50,6,0.12,0.11202,0.123921,0.904,0.122493,"LYN, C5AR1, TYMP, IL1B, TBXAS1, MAP2K1"
myeloid dendritic cell,15,8.898935755842247,50,3,0.06,0.076223,0.168105,0.4534,0.162479,"CD86, CXCR4, IL1B"
enterocyte of epithelium of large intestine,16,9.297263435043051,50,2,0.04,0.180584,0.116442,1.5509,0.119731,"PDE3A, EPCAM"
large intestine goblet cell,17,9.466734231251584,50,2,0.04,0.121382,0.139551,0.8698,0.138761,"NR3C2, EPCAM"
luminal epithelial cell of mammary gland,18,9.654116202287025,50,2,0.04,0.289526,0.133422,2.17,0.139666,"TACSTD2, ERBB4"
B cell,19,9.84610068589495,50,3,0.06,0.072164,0.139418,0.5176,0.135383,"MS4A1, CD52, CXCR4"
macrophage,20,9.878522208732335,50,3,0.06,0.057079,0.119933,0.4759,0.116162,"FCGRT, F13A1, C5AR1"
classical monocyte,21,9.928629416857593,50,4,0.08,0.098256,0.118303,0.8305,0.116699,"TBXAS1, LYN, TSPO, CSF3R"
"CD4-positive, alpha-beta T cell",22,10.21169775481372,50,5,0.1,0.058817,0.14035,0.4191,0.132197,"CXCR4, ITK, CD3E, CD52, CD2"
mesenchymal stem cell,23,10.340755101730727,50,4,0.08,0.087488,0.173615,0.5039,0.166725,"CFD, SERPING1, C3, EGFR"
plasma cell,24,11.083711716328304,50,2,0.04,0.084904,0.111144,0.7639,0.110095,"TNFRSF17, CD38"
mesenchymal stem cell of adipose tissue,25,11.432483678688156,50,3,0.06,0.104455,0.17201,0.6073,0.167956,"CFD, SERPING1, C3"
myeloid leukocyte,26,11.509243348794332,50,3,0.06,0.089361,0.127117,0.703,0.124851,"ABCA1, IL1B, C5AR1"
fibroblast of cardiac tissue,27,11.521942001663705,50,4,0.08,0.132151,0.165635,0.7978,0.162956,"CFD, SERPING1, FN1, TFPI"
neutrophil,28,11.597880291489918,50,2,0.04,0.06429,0.107643,0.5973,0.105798,"CSF3R, LYN"
T cell,29,11.669226435501992,50,3,0.06,0.081319,0.170329,0.4774,0.164988,"CXCR4, ITK, NR3C1"
basal cell,30,12.766119470797328,50,2,0.04,0.147716,0.148917,0.9919,0.148869,"TACSTD2, EGFR"
pancreatic acinar cell,31,12.837688508209771,50,3,0.06,0.089257,0.132875,0.6717,0.130204,"PNLIP, INSR, CHRM3"
hematopoietic stem cell,32,14.94836253134559,50,3,0.06,0.182963,0.132774,1.378,0.135847,"HTR1F, CDK6, FLT3"
hematopoietic precursor cell,33,15.353904628472927,50,3,0.06,0.06864,0.144409,0.4753,0.13977,"ELANE, SYK, FLT3"
epithelial cell,34,16.267367119340193,50,2,0.04,0.098264,0.10358,0.9487,0.103363,"CLDN18, CA2"
stromal cell,35,16.984603696210993,50,2,0.04,0.195629,0.182152,1.074,0.182702,"SERPING1, PDGFRA"
