cell_type,rank1_driver,rank1_driver_symbol,top5_drivers,top5_drivers_symbol,classification,cpc1_var_frac_TS,cpc1_var_frac_PanSci
B cell,ENSG00000075884,ARHGAP15,ENSG00000075884;ENSG00000134516;ENSG00000144218;ENSG00000188641;ENSG00000112964,ARHGAP15;DOCK2;AFF3;DPYD;GHR,cell_type_specific,0.0829074457287788,0.371806651353836
"CD4-positive, alpha-beta T cell",ENSG00000152601,MBNL1,ENSG00000152601;ENSG00000141293;ENSG00000075884;ENSG00000134954;ENSG00000134516,MBNL1;SKAP1;ARHGAP15;ETS1;DOCK2,cell_type_specific,0.471706211566925,0.4110926985740661
"CD8-positive, alpha-beta T cell",ENSG00000152601,MBNL1,ENSG00000152601;ENSG00000075884;ENSG00000141293;ENSG00000134516;ENSG00000155849,MBNL1;ARHGAP15;SKAP1;DOCK2;ELMO1,cell_type_specific,0.4436249136924743,0.3884495794773102
T cell,ENSG00000075884,ARHGAP15,ENSG00000075884;ENSG00000141293;ENSG00000134516;ENSG00000134954;ENSG00000111913,ARHGAP15;SKAP1;DOCK2;ETS1;RIPOR2,cell_type_specific,0.1634926199913025,0.4463033676147461
endothelial cell,ENSG00000064989,CALCRL,ENSG00000064989;ENSG00000116016;ENSG00000115306;ENSG00000169744;ENSG00000173482,CALCRL;EPAS1;SPTBN1;LDB2;PTPRM,cell_type_specific,0.2048761844635009,0.5559718608856201
epithelial cell,ENSG00000132465,JCHAIN,ENSG00000132465;ENSG00000198840;ENSG00000188559;ENSG00000151276;ENSG00000085276,JCHAIN;MT-ND3;RALGAPA2;MAGI1;MECOM,cell_type_specific,0.2406971305608749,0.4458413422107696
fibroblast,ENSG00000181722,ZBTB20,ENSG00000181722;ENSG00000115306;ENSG00000144218;ENSG00000185532;ENSG00000128512,ZBTB20;SPTBN1;AFF3;PRKG1;DOCK4,cell_type_specific,0.163857951760292,0.3487762212753296
granulocyte,ENSG00000105835,NAMPT,ENSG00000105835;ENSG00000011198;ENSG00000115590;ENSG00000090376;ENSG00000075884,NAMPT;ABHD5;IL1R2;IRAK3;ARHGAP15,cell_type_specific,0.7401373386383057,0.0902671962976455
hepatocyte,ENSG00000188641,DPYD,ENSG00000188641;ENSG00000184903;ENSG00000156110;ENSG00000132964;ENSG00000112964,DPYD;IMMP2L;ADK;CDK8;GHR,cell_type_specific,0.4116654098033905,0.8570672273635864
large intestine goblet cell,ENSG00000112699,GMDS,ENSG00000112699;ENSG00000085276;ENSG00000152127;ENSG00000151276;ENSG00000113448,GMDS;MECOM;MGAT5;MAGI1;PDE4D,cell_type_specific,0.1937005966901779,0.6948869228363037
macrophage,ENSG00000185774,KCNIP4,ENSG00000185774;ENSG00000148655;ENSG00000166833;ENSG00000148737;ENSG00000175471,KCNIP4;LRMDA;NAV2;TCF7L2;MCTP1,cell_type_specific,0.1437380164861679,0.721053957939148
monocyte,ENSG00000134516,DOCK2,ENSG00000134516;ENSG00000081237;ENSG00000152601;ENSG00000075884;ENSG00000148655,DOCK2;PTPRC;MBNL1;ARHGAP15;LRMDA,cell_type_specific,0.2589971423149109,0.5518644452095032
myeloid dendritic cell,ENSG00000134516,DOCK2,ENSG00000134516;ENSG00000198840;ENSG00000152601;ENSG00000198899;ENSG00000135905,DOCK2;MT-ND3;MBNL1;MT-ATP6;DOCK10,cell_type_specific,0.3448450565338135,0.5353820323944092
myeloid leukocyte,ENSG00000188641,DPYD,ENSG00000188641;ENSG00000112964;ENSG00000156110;ENSG00000146648;ENSG00000184903,DPYD;GHR;ADK;EGFR;IMMP2L,cell_type_specific,0.007089935708791,0.4886455237865448
plasma cell,ENSG00000198712,MT-CO2,ENSG00000198712;ENSG00000198938;ENSG00000166710;ENSG00000147403;ENSG00000167526,MT-CO2;MT-CO3;B2M;RPL10;RPL13,cell_type_specific,0.5196229815483093,0.1278024315834045
smooth muscle cell,ENSG00000115306,SPTBN1,ENSG00000115306;ENSG00000144218;ENSG00000116016;ENSG00000064989;ENSG00000163637,SPTBN1;AFF3;EPAS1;CALCRL;PRICKLE2,cell_type_specific,0.1932917833328247,0.4438957273960113
