cell_type,S_pre_k5,S_post_k5,S_pre_k1,S_post_k1,S_pre_k3,S_post_k3,layer1_residual_magnitude
B cell,0.2845882773399353,0.4186561399305864,0.07906439900398254,0.15315505461651724,0.3083808720111847,0.30311876322186865,8.62350077679567
"CD4-positive, alpha-beta T cell",0.3290178179740906,0.35687825677493323,0.47500312328338623,0.02015139146073141,0.3129427134990692,0.2445813838934007,3.8669963797344318
"CD8-positive, alpha-beta T cell",0.32889223098754883,0.3973990922598439,0.3878426253795624,0.016429299864603775,0.28668802976608276,0.1940103761198456,4.968464897433978
T cell,0.2922453284263611,0.35526973814529017,0.10906442999839783,0.041342077515192185,0.28206124901771545,0.19548893600413256,5.551132918780452
endothelial cell,0.3236725330352783,0.34335541233536115,0.029231345281004906,0.053270703611794375,0.3695739209651947,0.1830050541875261,6.223893458227744
epithelial cell,0.39070409536361694,0.3108071629652283,0.28198179602622986,0.07504876105146889,0.3556935787200928,0.10913698342109796,12.007298019037552
fibroblast,0.44450339674949646,0.4276629185296093,0.0577569454908371,0.0021325156535295917,0.4127110540866852,0.12446177224832285,14.052042085896906
granulocyte,0.35156241059303284,0.2979141403881225,0.0004573602636810392,0.029711975450919602,0.24919241666793823,0.27313013356735216,17.354719835196942
hepatocyte,0.48821529746055603,0.48261782851171847,0.46722912788391113,0.38615688000881715,0.5353516340255737,0.3568621387361499,4.2170879307212275
large intestine goblet cell,0.534828782081604,0.4242291156739498,0.0029014479368925095,0.08170983508096354,0.5815541744232178,0.3062381161847865,8.010279431816203
macrophage,0.4964512884616852,0.40170559837731845,0.07331081479787827,0.12789218590860735,0.31942957639694214,0.26309265950795085,11.825373588115824
monocyte,0.41602659225463867,0.4103908691198749,0.5000022649765015,0.12209436324041528,0.34817588329315186,0.3841093256648211,7.924947139601907
myeloid dendritic cell,0.32744359970092773,0.44992825969997696,0.5458196997642517,0.1544181047592935,0.35093703866004944,0.4020838191774157,5.661268685492085
myeloid leukocyte,0.3707066774368286,0.4269745590606743,0.0008857970242388546,0.27027271607719827,0.23606450855731964,0.3946707397584337,13.339465872432667
plasma cell,0.43367987871170044,0.49793129039020145,0.13902316987514496,0.02406155519573646,0.5070985555648804,0.18118736493701923,8.499469415474387
smooth muscle cell,0.5303347110748291,0.4265331910848674,0.09268561750650406,0.06560926512672566,0.5362678170204163,0.26211471173901474,8.684906407577353
