gene_id,pearson_r,pearson_p,gene_name,procrustes_contribution,mean_expression,perc_id_human_to_mouse,perc_id_mouse_to_human,goc_score,wga_coverage,seq_identity,pLI,oe_lof_upper,mis_z,oe_lof,oe_mis
ENSG00000000003,0.5212868699981197,0.0013223542005026108,TSPAN6,0.0017195197239772719,0.08865225835142856,93.0612,93.0612,100.0,100.0,93.0612,0.066079,0.985,0.59223,0.38144,0.81482
ENSG00000000005,0.4740635118590139,0.0040158980315118985,TNMD,0.00021713736264386522,0.016371691936714287,96.2145,96.2145,100.0,100.0,96.2145,0.0035119,0.91,0.85895,0.46109,0.77881
ENSG00000000419,0.22532971036044508,0.19309852446553724,DPM1,0.0017150458808947242,0.3424236468571429,91.1538,91.1538,100.0,100.0,91.1538,0.00016237,0.873,0.37836,0.50054,0.91055
ENSG00000000457,0.4971406120996313,0.0023797854859088077,SCYL3,0.001316422999034363,0.08024482054285714,82.8488,77.551,100.0,100.0,80.1999,0.28151,0.421,0.98492,0.2331,0.85902
ENSG00000000460,0.31515571273373555,0.06517109110287206,FIRRM,0.0016883859748466278,0.03923744035287143,72.0985,68.1063,0.0,100.0,70.1024,3.3523e-10,0.73,0.57235,0.51528,0.92227
ENSG00000000938,0.8799773042869252,3.3322531925808918e-12,FGR,0.0032999278859124326,0.2946424720521429,83.9319,85.8801,100.0,100.0,84.906,0.48408,0.425,2.7807,0.21554,0.5702
ENSG00000001036,0.07550550568067152,0.6664028677129153,FUCA2,0.0016200257637898612,0.20758965357142856,80.9422,81.9957,100.0,100.0,81.46895,4.3892e-07,0.902,0.82412,0.57705,0.85354
ENSG00000001084,0.6898722323592282,4.548400596202045e-06,GCLC,0.010065524110259629,0.2646176301571429,94.5055,94.5055,100.0,100.0,94.5055,0.42718,0.401,2.5494,0.22197,0.60898
ENSG00000001167,0.08776956268044864,0.6161154613060634,NFYA,0.001411385830488428,0.11279513485714285,99.7118,99.7118,100.0,100.0,99.7118,0.14619,0.509,2.7803,0.25764,0.43822
ENSG00000001460,0.3661165518615693,0.03053789678236338,STPG1,0.0005248851352647369,0.023819427485475716,71.2575,69.7947,100.0,100.0,70.5261,1.2043e-09,1.339,0.24957,0.8696,0.94941
ENSG00000001461,0.3898407320393251,0.020612480671311804,NIPAL3,0.002337499840262033,0.08353118928857142,90.1478,89.2683,100.0,100.0,89.70805,6.9573e-05,0.844,0.6751,0.4975,0.87934
ENSG00000001497,0.5462504749218942,0.0006870945680294614,LAS1L,0.0015160156578398355,0.1611509279714286,70.9809,67.1392,100.0,99.04,69.06005,0.99955,0.179,2.6661,0.037645,0.54588
ENSG00000001561,0.2647283666369885,0.1243321751209847,ENPP4,0.0015999908365998978,0.10265544165,82.34,81.7982,100.0,100.0,82.06909999999999,0.11941,0.66,0.80316,0.28858,0.85378
ENSG00000001617,0.7526251365638004,1.8407624580693245e-07,SEMA3F,0.0015850416689928296,0.03336846778914286,92.6115,96.4191,100.0,100.0,94.5153,0.99989,0.219,2.4689,0.10429,0.70404
ENSG00000001626,0.8685095651758472,1.3743214443384525e-11,CFTR,0.000284242973501575,0.09911196528865286,78.5135,78.7263,100.0,100.0,78.6199,2.1735e-58,1.307,-3.1397,1.0903,1.3219
ENSG00000001629,0.29819556962127886,0.08187471482204176,ANKIB1,0.0061436974053553535,0.2686234653171429,93.2966,93.6406,100.0,100.0,93.46860000000001,0.99996,0.207,3.164,0.098617,0.62649
ENSG00000001630,0.28384704242409553,0.09844039377278484,CYP51A1,0.005021580571076299,0.10824613291428573,90.1768,91.2525,50.0,100.0,90.71465,1.4563e-07,1.011,0.78819,0.64661,0.86645
ENSG00000001631,0.47377606996230764,0.004041255626516142,KRIT1,0.0011633235667987977,0.14042297317142857,94.5652,94.5652,75.0,100.0,94.5652,0.00069333,0.499,1.4289,0.31939,0.79765
ENSG00000002016,0.528244930873548,0.0011073296835887282,RAD52,0.0008816804441967222,0.06962157295714284,70.0957,69.7619,100.0,100.0,69.9288,7.1128e-11,1.109,0.55138,0.75567,0.90114
ENSG00000002330,0.45813851363331326,0.0056467803475773485,BAD,0.001244832750386166,0.2399873914428572,75.5952,62.2549,75.0,100.0,68.92505,0.0046237,1.533,-0.55249,0.69217,1.1699
ENSG00000002549,0.01612944717272182,0.9267270939516428,LAP3,0.008326423313237831,0.2822020195157143,90.3661,90.3661,100.0,100.0,90.3661,1.4677e-07,0.897,1.0927,0.58278,0.82222
ENSG00000002587,0.8404251476858243,2.691128471615124e-10,HS3ST1,0.002451359998249904,0.10764356961171428,88.2736,87.1383,100.0,100.0,87.70595,0.0044305,1.113,1.0858,0.5294,0.79205
ENSG00000002745,0.09922669723526673,0.5706352196253016,WNT16,0.0003235622892011898,0.002562736772642857,90.411,90.6593,100.0,100.0,90.53515,1.6523e-06,1.172,-0.17295,0.70797,1.0337
