gene_name	human_ensembl_id	pLI	oe_lof_upper	mis_z	oe_lof	oe_mis
MED13	ENSG00000108510	1.0	0.03	2.6232	0.0	0.77921
NIPBL	ENSG00000164190	1.0	0.032	5.5737	0.0066527	0.58688
SMC3	ENSG00000108055	1.0	0.037	6.3999	0.0	0.28251
CNOT1	ENSG00000125107	1.0	0.038	7.2546	0.0079978	0.4329
RLF	ENSG00000117000	1.0	0.04	3.462	0.0	0.68766
PCF11	ENSG00000165494	1.0	0.04	2.6592	0.0	0.73265
FNDC3B	ENSG00000075420	1.0	0.042	1.8745	0.0	0.79911
TAF1	ENSG00000147133	1.0	0.043	5.486	0.0	0.43565
RSF1	ENSG00000048649	1.0	0.044	1.7661	0.0	0.81933
NCKAP1	ENSG00000061676	1.0	0.044	4.2701	0.0	0.50127
KDM2A	ENSG00000173120	1.0	0.045	5.3101	0.0	0.43371
BRD4	ENSG00000141867	1.0	0.048	3.5856	0.0	0.64445
HELZ	ENSG00000198265	1.0	0.048	3.301	0.010152	0.71301
FBN1	ENSG00000166147	1.0	0.049	5.0644	0.018895	0.6448
XPO1	ENSG00000082898	1.0	0.051	6.0107	0.0	0.27741
PRR12	ENSG00000126464	1.0	0.051	2.9765	0.0	0.7648
USP9X	ENSG00000124486	1.0	0.051	6.4105	0.010698	0.40761
POLA1	ENSG00000101868	1.0	0.051	1.9947	0.0	0.75166
SYNGAP1	ENSG00000197283	1.0	0.052	5.6047	0.0	0.44097
PRKDC	ENSG00000253729	1.0	0.052	2.7576	0.024934	0.82989
HDAC4	ENSG00000068024	1.0	0.052	2.926	0.0	0.69262
SMG1	ENSG00000157106	1.0	0.053	3.2976	0.023202	0.7789
ZC3H4	ENSG00000130749	1.0	0.054	0.65604	0.0	0.93465
COL5A1	ENSG00000130635	1.0	0.055	2.0682	0.017445	0.82708
SMARCA4	ENSG00000127616	1.0	0.055	6.8459	0.011662	0.40437
TNPO1	ENSG00000083312	1.0	0.056	4.3261	0.0	0.4465
AGO1	ENSG00000092847	1.0	0.057	5.6761	0.0	0.31473
ARHGAP35	ENSG00000160007	1.0	0.057	4.1633	0.0	0.59861
LRP1	ENSG00000123384	1.0	0.058	8.2463	0.032397	0.57297
TOP1	ENSG00000198900	1.0	0.059	4.4734	0.0	0.37928
TRIP12	ENSG00000153827	1.0	0.06	4.6402	0.018956	0.59991
