human_ensembl_id,pct_identity,seq_divergence,ensembl_gene_id_x,mean_expression_divergence,ensembl_gene_id_y,gene_name,is_ribosomal,is_histone,is_hsp,is_any_confound
ENSG00000065548,95.5399,4.460099999999997,ENSG00000065548,0.0682206555091831,ENSG00000065548,ZC3H15,False,False,False,False
ENSG00000137055,94.14735,5.852650000000011,ENSG00000137055,0.0250514048894019,ENSG00000137055,PLAA,False,False,False,False
ENSG00000161638,90.58075,9.419250000000003,ENSG00000161638,0.0809738961539509,ENSG00000161638,ITGA5,False,False,False,False
ENSG00000115112,93.5282,6.471800000000002,ENSG00000115112,0.0749061089990531,ENSG00000115112,TFCP2L1,False,False,False,False
ENSG00000162267,84.9916,15.008399999999996,ENSG00000162267,0.0421071530643883,ENSG00000162267,ITIH3,False,False,False,False
ENSG00000119048,100.0,0.0,ENSG00000119048,0.0638513274828801,ENSG00000119048,UBE2B,False,False,False,False
ENSG00000267673,81.8447,18.155299999999997,ENSG00000267673,0.004763503867858,ENSG00000267673,FDX2,False,False,False,False
ENSG00000100749,87.1212,12.878799999999998,ENSG00000100749,0.0411424706971269,ENSG00000100749,VRK1,False,False,False,False
ENSG00000164211,83.1468,16.8532,ENSG00000164211,0.0294835810968589,ENSG00000164211,STARD4,False,False,False,False
ENSG00000176105,96.12575,3.8742499999999898,ENSG00000176105,0.0952497390335172,ENSG00000176105,YES1,False,False,False,False
ENSG00000131747,89.6372,10.362799999999991,ENSG00000131747,0.044266029995392,ENSG00000131747,TOP2A,False,False,False,False
ENSG00000125743,100.0,0.0,ENSG00000125743,0.1070850047686847,ENSG00000125743,SNRPD2,False,False,False,False
ENSG00000151365,83.79910000000001,16.20089999999999,ENSG00000151365,0.029351626646172,ENSG00000151365,THRSP,False,False,False,False
ENSG00000165175,88.21979999999999,11.780200000000008,ENSG00000165175,0.0405020101262421,ENSG00000165175,MID1IP1,False,False,False,False
ENSG00000108622,59.4211,40.5789,ENSG00000108622,0.0805748756064344,ENSG00000108622,ICAM2,False,False,False,False
ENSG00000160392,87.07465,12.925349999999996,ENSG00000160392,0.0059127995271115,ENSG00000160392,C19orf47,False,False,False,False
ENSG00000138696,98.2072,1.7927999999999995,ENSG00000138696,0.0428478746700189,ENSG00000138696,BMPR1B,False,False,False,False
ENSG00000106366,79.1045,20.8955,ENSG00000106366,0.0880956424572309,ENSG00000106366,SERPINE1,False,False,False,False
ENSG00000178026,81.8207,18.1793,ENSG00000178026,0.0090597742040446,ENSG00000178026,LRRC75B,False,False,False,False
ENSG00000125741,85.4749,14.525099999999997,ENSG00000125741,0.0247426902319094,ENSG00000125741,OPA3,False,False,False,False
ENSG00000074755,91.03835,8.961649999999992,ENSG00000074755,0.05005447932025,ENSG00000074755,ZZEF1,False,False,False,False
ENSG00000109084,82.3864,17.613600000000005,ENSG00000109084,0.0724966813079345,ENSG00000109084,TMEM97,False,False,False,False
ENSG00000106546,71.31264999999999,28.68735000000001,ENSG00000106546,0.0586591045890708,ENSG00000106546,AHR,False,False,False,False
ENSG00000063438,61.0878,38.9122,ENSG00000063438,0.0011145009163943,ENSG00000063438,AHRR,False,False,False,False
ENSG00000112038,86.58555,13.414450000000002,ENSG00000112038,0.0290650939417434,ENSG00000112038,OPRM1,False,False,False,False
ENSG00000115364,81.5069,18.4931,ENSG00000115364,0.0285593004500464,ENSG00000115364,MRPL19,True,False,False,True
ENSG00000175329,50.10455,49.89545,ENSG00000175329,0.0114449917260337,ENSG00000175329,ISX,False,False,False,False
ENSG00000088926,77.98245,22.01755,ENSG00000088926,0.0182384323945557,ENSG00000088926,F11,False,False,False,False
ENSG00000100941,93.2815,6.718500000000006,ENSG00000100941,0.0723765979931395,ENSG00000100941,PNN,False,False,False,False
ENSG00000179115,92.5197,7.4803,ENSG00000179115,0.028762547916247,ENSG00000179115,FARSA,False,False,False,False
ENSG00000162961,97.9798,2.0202000000000027,ENSG00000162961,0.0282624827128887,ENSG00000162961,DPY30,False,False,False,False
ENSG00000153130,82.8,17.200000000000003,ENSG00000153130,0.0275921762113183,ENSG00000153130,SCOC,False,False,False,False
ENSG00000145309,61.32475,38.67525,ENSG00000145309,0.0007350807580887,ENSG00000145309,CABS1,False,False,False,False
ENSG00000104835,86.1004,13.899600000000008,ENSG00000104835,0.0080568847526697,ENSG00000104835,SARS2,False,False,False,False
ENSG00000031698,95.71185,4.288150000000002,ENSG00000031698,0.0624173494409675,ENSG00000031698,SARS1,False,False,False,False
ENSG00000167077,78.7821,21.2179,ENSG00000167077,0.0569403202608813,ENSG00000167077,MEI1,False,False,False,False
ENSG00000107282,93.27065,6.729349999999997,ENSG00000107282,0.0427549935952239,ENSG00000107282,APBA1,False,False,False,False
ENSG00000133895,95.8466,4.153400000000005,ENSG00000133895,0.0103116790634056,ENSG00000133895,MEN1,False,False,False,False
ENSG00000151779,85.63655,14.36345,ENSG00000151779,0.0444081124802585,ENSG00000151779,NBAS,False,False,False,False
ENSG00000076321,99.5895,0.410499999999999,ENSG00000076321,0.0240786662926074,ENSG00000076321,KLHL20,False,False,False,False
ENSG00000156860,95.4082,4.591800000000006,ENSG00000156860,0.0134571322641871,ENSG00000156860,FBRS,False,False,False,False
ENSG00000152332,99.284,0.715999999999994,ENSG00000152332,0.0401254366780406,ENSG00000152332,UHMK1,False,False,False,False
ENSG00000175221,89.22325000000001,10.776749999999993,ENSG00000175221,0.0130571154973501,ENSG00000175221,MED16,False,False,False,False
ENSG00000166886,95.619,4.381,ENSG00000166886,0.0102271172996757,ENSG00000166886,NAB2,False,False,False,False
ENSG00000138386,92.7031,7.296899999999994,ENSG00000138386,0.0314938097041155,ENSG00000138386,NAB1,False,False,False,False
ENSG00000134352,77.16624999999999,22.83375000000001,ENSG00000134352,0.127645758594225,ENSG00000134352,IL6ST,False,False,False,False
ENSG00000109381,91.9056,8.094399999999993,ENSG00000109381,0.153457607091611,ENSG00000109381,ELF2,False,False,False,False
ENSG00000103275,100.0,0.0,ENSG00000103275,0.0678956641178659,ENSG00000103275,UBE2I,False,False,False,False
ENSG00000247596,96.5616,3.4384000000000015,ENSG00000247596,0.0505788265019442,ENSG00000247596,TWF2,False,False,False,False
ENSG00000151239,94.8571,5.142899999999997,ENSG00000151239,0.0297894573169775,ENSG00000151239,TWF1,False,False,False,False
ENSG00000184497,77.37075,22.62925,ENSG00000184497,0.0321157727530678,ENSG00000184497,TMEM255B,False,False,False,False
ENSG00000138107,100.0,0.0,ENSG00000138107,0.0233244826049134,ENSG00000138107,ACTR1A,False,False,False,False
ENSG00000197594,79.3095,20.6905,ENSG00000197594,0.0352933572373475,ENSG00000197594,ENPP1,False,False,False,False
ENSG00000204351,93.3334,6.6666000000000025,ENSG00000204351,0.0096455310553706,ENSG00000204351,SKIC2,False,False,False,False
ENSG00000186364,68.44925,31.550749999999994,ENSG00000186364,0.0052015955449686,ENSG00000186364,NUDT17,False,False,False,False
ENSG00000188191,94.7507,5.249300000000005,ENSG00000188191,0.0158240602112667,ENSG00000188191,PRKAR1B,False,False,False,False
ENSG00000141542,92.8058,7.194199999999995,ENSG00000141542,0.021621550791341,ENSG00000141542,RAB40B,False,False,False,False
ENSG00000152253,74.22370000000001,25.776299999999992,ENSG00000152253,0.0186794880081487,ENSG00000152253,SPC25,False,False,False,False
ENSG00000133313,91.1579,8.842100000000002,ENSG00000133313,0.0580477000898057,ENSG00000133313,CNDP2,False,False,False,False
ENSG00000257987,80.1527,19.847300000000004,ENSG00000257987,0.0029624371167911,ENSG00000257987,SPMIP11,False,False,False,False
ENSG00000145526,96.076,3.9240000000000066,ENSG00000145526,0.0085916087423865,ENSG00000145526,CDH18,False,False,False,False
ENSG00000059769,91.21495,8.785050000000012,ENSG00000059769,0.0129972532659398,ENSG00000059769,DNAJC25,False,False,False,False
ENSG00000184677,78.4186,21.5814,ENSG00000184677,0.0114009120451137,ENSG00000184677,ZBTB40,False,False,False,False
ENSG00000180269,95.14145,4.858550000000008,ENSG00000180269,0.000332214633578,ENSG00000180269,GPR139,False,False,False,False
ENSG00000143363,85.3364,14.663600000000002,ENSG00000143363,0.0061376242964806,ENSG00000143363,PRUNE1,False,False,False,False
ENSG00000203907,40.34825,59.65175,ENSG00000203907,0.0171050127345159,ENSG00000203907,OOEP,False,False,False,False
ENSG00000271271,84.2153,15.7847,ENSG00000271271,2.0410542354426488e-06,ENSG00000271271,UGT2A2,False,False,False,False
ENSG00000173610,80.56880000000001,19.43119999999999,ENSG00000173610,0.0004020673219608,ENSG00000173610,UGT2A1,False,False,False,False
ENSG00000213397,64.8244,35.1756,ENSG00000213397,0.0056087693741245,ENSG00000213397,HAUS7,False,False,False,False
ENSG00000113296,92.41175,7.588249999999988,ENSG00000113296,0.0583163163117076,ENSG00000113296,THBS4,False,False,False,False
ENSG00000006451,99.5146,0.4853999999999985,ENSG00000006451,0.0542973450777431,ENSG00000006451,RALA,False,False,False,False
ENSG00000027075,97.6574,2.3426000000000045,ENSG00000027075,0.1566706834884245,ENSG00000027075,PRKCH,False,False,False,False
ENSG00000115665,92.931,7.069000000000003,ENSG00000115665,0.0048151692648,ENSG00000115665,SLC5A7,False,False,False,False
ENSG00000174080,76.36265,23.63735,ENSG00000174080,0.0458060558928951,ENSG00000174080,CTSF,False,False,False,False
ENSG00000075043,95.1781,4.821899999999999,ENSG00000075043,0.0002748377471413,ENSG00000075043,KCNQ2,False,False,False,False
ENSG00000146966,82.62985,17.370149999999995,ENSG00000146966,0.0395780502136489,ENSG00000146966,DENND2A,False,False,False,False
ENSG00000175984,83.4431,16.5569,ENSG00000175984,0.0768133712866249,ENSG00000175984,DENND2C,False,False,False,False
ENSG00000166444,93.0869,6.9131,ENSG00000166444,0.0383635370444011,ENSG00000166444,DENND2B,False,False,False,False
ENSG00000162777,89.65039999999999,10.34960000000001,ENSG00000162777,0.0338440051324175,ENSG00000162777,DENND2D,False,False,False,False
ENSG00000143839,70.29875,29.70125,ENSG00000143839,0.0017839358677394,ENSG00000143839,REN,False,False,False,False
ENSG00000140199,98.1739,1.8260999999999967,ENSG00000140199,0.0944657855191175,ENSG00000140199,SLC12A6,False,False,False,False
ENSG00000104047,73.6842,26.315799999999996,ENSG00000104047,0.026942817442934,ENSG00000104047,DTWD1,False,False,False,False
ENSG00000137207,96.415,3.585000000000008,ENSG00000137207,0.0455940155397776,ENSG00000137207,YIPF3,False,False,False,False
ENSG00000119782,97.2222,2.777799999999999,ENSG00000119782,0.0101709991392467,ENSG00000119782,FKBP1B,False,False,False,False
ENSG00000166682,78.50915,21.490849999999995,ENSG00000166682,0.0013218311333065,ENSG00000166682,TMPRSS5,False,False,False,False
ENSG00000150275,76.74685,23.253150000000005,ENSG00000150275,0.003734416930195,ENSG00000150275,PCDH15,False,False,False,False
ENSG00000141027,91.8683,8.131699999999995,ENSG00000141027,0.0764557657993693,ENSG00000141027,NCOR1,False,False,False,False
ENSG00000168397,94.6565,5.343500000000006,ENSG00000168397,0.0142640344584683,ENSG00000168397,ATG4B,False,False,False,False
ENSG00000125703,90.393,9.607,ENSG00000125703,0.0221823923668989,ENSG00000125703,ATG4C,False,False,False,False
ENSG00000130734,86.2869,13.713099999999995,ENSG00000130734,0.0156880631660343,ENSG00000130734,ATG4D,False,False,False,False
ENSG00000090470,91.22815,8.77185,ENSG00000090470,0.0236966430387452,ENSG00000090470,PDCD7,False,False,False,False
ENSG00000167642,70.6349,29.3651,ENSG00000167642,0.1242954476040831,ENSG00000167642,SPINT2,False,False,False,False
ENSG00000172345,83.5681,16.4319,ENSG00000172345,0.0278402399959445,ENSG00000172345,STARD5,False,False,False,False
ENSG00000110066,87.3304,12.669600000000004,ENSG00000110066,0.0333490579930751,ENSG00000110066,KMT5B,False,False,False,False
ENSG00000166343,77.94354999999999,22.056450000000012,ENSG00000166343,0.0031905840180435,ENSG00000166343,MSS51,False,False,False,False
ENSG00000165724,100.0,0.0,ENSG00000165724,0.0110475167937004,ENSG00000165724,ZMYND19,False,False,False,False
ENSG00000004838,88.6364,11.363600000000003,ENSG00000004838,0.0016544550482974,ENSG00000004838,ZMYND10,False,False,False,False
ENSG00000148965,57.6923,42.3077,ENSG00000148965,0.0148647045796735,ENSG00000148965,SAA4,False,False,False,False
ENSG00000166788,79.7468,20.253200000000007,ENSG00000166788,0.0139492083395816,ENSG00000166788,SAAL1,False,False,False,False
ENSG00000133961,93.5585,6.441499999999991,ENSG00000133961,0.1263037831965891,ENSG00000133961,NUMB,False,False,False,False
ENSG00000167705,71.8123,28.187700000000007,ENSG00000167705,0.0166783493528139,ENSG00000167705,RILP,False,False,False,False
ENSG00000144771,63.08395,36.91605,ENSG00000144771,0.0023878561001052,ENSG00000144771,LRTM1,False,False,False,False
ENSG00000100242,82.19,17.810000000000002,ENSG00000100242,0.0709712598743992,ENSG00000100242,SUN2,False,False,False,False
ENSG00000106070,78.15145,21.848550000000003,ENSG00000106070,0.114000179083349,ENSG00000106070,GRB10,False,False,False,False
ENSG00000111837,83.6169,16.3831,ENSG00000111837,0.0151260549062578,ENSG00000111837,MAK,False,False,False,False
ENSG00000060138,87.605,12.394999999999996,ENSG00000060138,0.1936519945386745,ENSG00000060138,YBX3,False,False,False,False
ENSG00000133256,93.33345,6.666550000000001,ENSG00000133256,0.0081215168684642,ENSG00000133256,PDE6B,False,False,False,False
ENSG00000153317,95.3201,4.6799000000000035,ENSG00000153317,0.2091144319912075,ENSG00000153317,ASAP1,False,False,False,False
ENSG00000169184,90.41585,9.584149999999994,ENSG00000169184,0.0300403276206864,ENSG00000169184,MN1,False,False,False,False
ENSG00000162520,77.5333,22.466700000000003,ENSG00000162520,0.0195513422125991,ENSG00000162520,SYNC,False,False,False,False
ENSG00000177191,76.85275,23.14725,ENSG00000177191,0.0167676828217184,ENSG00000177191,B3GNT8,False,False,False,False
ENSG00000187867,53.50185,46.49815,ENSG00000187867,0.0123615868175222,ENSG00000187867,PALM3,False,False,False,False
ENSG00000174177,76.96799999999999,23.03200000000001,ENSG00000174177,0.0104687352322314,ENSG00000174177,CTU2,False,False,False,False
ENSG00000137473,74.63135,25.36865,ENSG00000137473,0.0009007583846792,ENSG00000137473,TTC29,False,False,False,False
ENSG00000136270,75.6543,24.345699999999994,ENSG00000136270,0.0128706850293314,ENSG00000136270,TBRG4,False,False,False,False
ENSG00000138399,67.9076,32.0924,ENSG00000138399,0.0341960325936335,ENSG00000138399,FASTKD1,False,False,False,False
ENSG00000118246,64.91815,35.08185,ENSG00000118246,0.0167716810969787,ENSG00000118246,FASTKD2,False,False,False,False
ENSG00000124279,64.5503,35.44970000000001,ENSG00000124279,0.0048888632476119,ENSG00000124279,FASTKD3,False,False,False,False
ENSG00000164896,89.2151,10.784899999999991,ENSG00000164896,0.0159526535303519,ENSG00000164896,FASTK,False,False,False,False
ENSG00000215251,72.49225,27.50775,ENSG00000215251,0.0059129537685218,ENSG00000215251,FASTKD5,False,False,False,False
ENSG00000007202,94.51775,5.482249999999993,ENSG00000007202,0.0269806257206319,ENSG00000007202,BLTP2,False,False,False,False
ENSG00000140319,80.57485,19.42515,ENSG00000140319,0.1346381309973855,ENSG00000140319,SRP14,False,False,False,False
ENSG00000054277,87.28235000000001,12.717649999999992,ENSG00000054277,0.0316385393498246,ENSG00000054277,OPN3,False,False,False,False
ENSG00000122375,73.0081,26.9919,ENSG00000122375,9.099907226899892e-05,ENSG00000122375,OPN4,False,False,False,False
ENSG00000060069,77.87615,22.123850000000004,ENSG00000060069,0.0239140343547448,ENSG00000060069,CTDP1,False,False,False,False
ENSG00000124564,64.6586,35.34139999999999,ENSG00000124564,0.0052199779858077,ENSG00000124564,SLC17A3,False,False,False,False
ENSG00000172985,82.7277,17.2723,ENSG00000172985,0.0792747636818407,ENSG00000172985,SH3RF3,False,False,False,False
ENSG00000179632,94.1648,5.8352,ENSG00000179632,0.0414504287451024,ENSG00000179632,MAF1,False,False,False,False
ENSG00000169840,97.146,2.853999999999999,ENSG00000169840,2.304812088330382e-05,ENSG00000169840,GSX1,False,False,False,False
ENSG00000214513,56.6476,43.3524,ENSG00000214513,0.0001516985137387,ENSG00000214513,NOTO,False,False,False,False
ENSG00000118526,96.0894,3.9106000000000023,ENSG00000118526,0.0737841377229266,ENSG00000118526,TCF21,False,False,False,False
