gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage	is_high_confidence	homology_id
ENSG00000000419	ENSP00000360644	homo_sapiens	91.1538	ortholog_one2one	ENSMUSG00000078919	ENSMUSP00000118776	mus_musculus	91.1538	NULL	NULL	100	100.00	1	89761513
ENSG00000000457	ENSP00000356745	homo_sapiens	82.8488	ortholog_one2one	ENSMUSG00000026584	ENSMUSP00000027876	mus_musculus	77.551	NULL	NULL	100	100.00	1	89770082
ENSG00000000460	ENSP00000352276	homo_sapiens	71.864	ortholog_one2one	ENSMUSG00000041406	ENSMUSP00000095101	mus_musculus	66.1273	NULL	NULL	0	99.21	1	89772465
ENSG00000000938	ENSP00000363117	homo_sapiens	83.9319	ortholog_one2one	ENSMUSG00000028874	ENSMUSP00000030693	mus_musculus	85.8801	NULL	NULL	100	100.00	1	89769841
ENSG00000001167	ENSP00000345702	homo_sapiens	99.7118	ortholog_one2one	ENSMUSG00000023994	ENSMUSP00000043909	mus_musculus	99.7118	NULL	NULL	100	100.00	1	89754442
ENSG00000001460	ENSP00000337461	homo_sapiens	69.7605	ortholog_one2one	ENSMUSG00000028801	ENSMUSP00000067647	mus_musculus	68.3284	NULL	NULL	100	100.00	1	89773845
ENSG00000001461	ENSP00000363520	homo_sapiens	79.064	ortholog_one2one	ENSMUSG00000028803	ENSMUSP00000101482	mus_musculus	76.7943	NULL	NULL	100	94.62	1	89757589
ENSG00000001561	ENSP00000318066	homo_sapiens	82.34	ortholog_one2one	ENSMUSG00000023961	ENSMUSP00000024757	mus_musculus	81.7982	NULL	NULL	100	100.00	1	89758849
ENSG00000001617	ENSP00000002829	homo_sapiens	95.9236	ortholog_one2one	ENSMUSG00000034684	ENSMUSP00000141865	mus_musculus	95.9236	NULL	NULL	100	100.00	1	89756690
ENSG00000001626	ENSP00000003084	homo_sapiens	78.3784	ortholog_one2one	ENSMUSG00000041301	ENSMUSP00000049228	mus_musculus	78.5908	NULL	NULL	100	100.00	1	89772289
ENSG00000001629	ENSP00000265742	homo_sapiens	93.2048	ortholog_one2one	ENSMUSG00000040351	ENSMUSP00000040946	mus_musculus	93.5484	NULL	NULL	100	100.00	1	89766206
ENSG00000001630	ENSP00000003100	homo_sapiens	90.1768	ortholog_one2one	ENSMUSG00000001467	ENSMUSP00000001507	mus_musculus	91.2525	NULL	NULL	50	100.00	1	89767414
ENSG00000001631	ENSP00000378013	homo_sapiens	94.5652	ortholog_one2one	ENSMUSG00000000600	ENSMUSP00000078985	mus_musculus	94.5652	NULL	NULL	75	100.00	1	89759708
ENSG00000002016	ENSP00000351284	homo_sapiens	69.1388	ortholog_one2one	ENSMUSG00000030166	ENSMUSP00000125502	mus_musculus	68.8095	NULL	NULL	100	100.00	1	89760607
ENSG00000002330	ENSP00000309103	homo_sapiens	75.5952	ortholog_one2one	ENSMUSG00000024959	ENSMUSP00000025910	mus_musculus	62.2549	NULL	NULL	100	100.00	1	89754664
ENSG00000002745	ENSP00000222462	homo_sapiens	90.6849	ortholog_one2one	ENSMUSG00000029671	ENSMUSP00000031681	mus_musculus	90.9341	NULL	NULL	100	100.00	1	89775654
ENSG00000002746	ENSP00000379228	homo_sapiens	88.2939	ortholog_one2one	ENSMUSG00000021301	ENSMUSP00000106145	mus_musculus	88.404	NULL	NULL	50	100.00	1	89766124
ENSG00000002822	ENSP00000265854	homo_sapiens	80.5014	ortholog_one2one	ENSMUSG00000029554	ENSMUSP00000031534	mus_musculus	80.6137	NULL	NULL	75	100.00	1	89774979
ENSG00000002834	ENSP00000325240	homo_sapiens	96.1686	ortholog_one2one	ENSMUSG00000038366	ENSMUSP00000042123	mus_musculus	95.4373	NULL	NULL	100	100.00	1	89770571
ENSG00000002919	ENSP00000352175	homo_sapiens	84.4444	ortholog_one2one	ENSMUSG00000020876	ENSMUSP00000021246	mus_musculus	84.1328	NULL	NULL	100	100.00	1	89762155
ENSG00000002933	ENSP00000004103	homo_sapiens	54.0426	ortholog_one2one	ENSMUSG00000023367	ENSMUSP00000098969	mus_musculus	52.0492	NULL	NULL	75	100.00	1	89766402
ENSG00000003056	ENSP00000000412	homo_sapiens	92.0578	ortholog_one2one	ENSMUSG00000007458	ENSMUSP00000108229	mus_musculus	91.7266	NULL	NULL	100	100.00	1	89769656
ENSG00000003147	ENSP00000385570	homo_sapiens	89.0269	ortholog_one2one	ENSMUSG00000062995	ENSMUSP00000040062	mus_musculus	89.9582	NULL	NULL	100	100.00	1	89760325
ENSG00000003249	ENSP00000002501	homo_sapiens	78.481	ortholog_one2one	ENSMUSG00000031970	ENSMUSP00000135524	mus_musculus	77.5	NULL	NULL	75	100.00	1	89762519
