gene_symbol_human,ensembl_id,chrom,tss,phastcons_100way_2kb
NUFIP1,ENSG00000083635,chr13,44989471,0.080855750118586
IRS2,ENSG00000185950,chr13,109786583,0.3266025001318485
UBASH3A,ENSG00000160185,chr21,42403447,0.05271925001771888
KRTAP27-1,ENSG00000206107,chr21,30337694,0.0715459999142331
SNORD31B,ENSG00000201847,chr13,107320963,0.0809650001960108
TMSB4Y,ENSG00000154620,chrY,13703899,0.22191425006164353
MRPS6,ENSG00000243927,chr21,34073224,0.1509095000634261
RNF17,ENSG00000132972,chr13,24764169,0.03044875006840448
RN7SL597P,ENSG00000244264,chr13,41121876,0.06696200009540189
POU4F1,ENSG00000152192,chr13,78603552,0.6078925003154727
KRTAP8-1,ENSG00000183640,chr21,30813274,0.11703500015701866
LAMA3,ENSG00000053747,chr18,23689453,0.10540950006831554
FAM216B,ENSG00000179813,chr13,42781550,0.06992025008893689
KRTAP11-1,ENSG00000182591,chr21,30881580,0.2485787500029837
RNU2-7P,ENSG00000222726,chr13,20612161,0.149203000101872
RCAN1,ENSG00000159200,chr21,34615113,0.1242177501945116
RIPK4,ENSG00000183421,chr21,41767089,0.10169225012933021
KBTBD6,ENSG00000165572,chr13,41132802,0.34339925011937156
MIR15A,ENSG00000283785,chr13,50049201,0.13255750008122413
HRH4,ENSG00000134489,chr18,24460637,0.09010350006932276
ONECUT2,ENSG00000119547,chr18,57435374,0.5275170000653597
GNAL,ENSG00000141404,chr18,11689264,0.14368600008290378
RNU1-98P,ENSG00000239023,chr21,16718998,0.03876975005684653
TMPRSS15,ENSG00000154646,chr21,18485879,0.013726000023976666
RNU6-696P,ENSG00000212136,chr21,37045530,0.04016050005468424
HS6ST3,ENSG00000185352,chr13,96090107,0.26983975011462463
TFF2,ENSG00000160181,chr21,42350997,0.04005500009079697
CLDN17,ENSG00000156282,chr21,30166805,0.12462150001976988
SHISA2,ENSG00000180730,chr13,26052016,0.10566375006723683
UBL3,ENSG00000122042,chr13,29850617,0.2576345000745205
DDX3Y,ENSG00000067048,chrY,12904108,0.07569174997322262
SOHLH2,ENSG00000120669,chr13,36214588,0.07460450001401478
MIR122,ENSG00000284440,chr18,58451074,0.05037599999882514
GTF3A,ENSG00000122034,chr13,27424619,0.04337599999285885
