gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage	is_high_confidence	homology_id
ENSMUSG00000027091	ENSMUSP00000080301	mus_musculus	95.5399	ortholog_one2one	ENSG00000065548	ENSP00000338788	homo_sapiens	95.5399	NULL	NULL	100	100.00	1	90024674
ENSMUSG00000028577	ENSMUSP00000102724	mus_musculus	94.2066	ortholog_one2one	ENSG00000137055	ENSP00000380460	homo_sapiens	94.0881	NULL	NULL	100	100.00	1	90024675
ENSMUSG00000000555	ENSMUSP00000023128	mus_musculus	90.4084	ortholog_one2one	ENSG00000161638	ENSP00000293379	homo_sapiens	90.7531	NULL	NULL	100	100.00	1	90024676
ENSMUSG00000026380	ENSMUSP00000027629	mus_musculus	93.5282	ortholog_one2one	ENSG00000115112	ENSP00000263707	homo_sapiens	93.5282	NULL	NULL	100	100.00	1	90024677
ENSMUSG00000006522	ENSMUSP00000006697	mus_musculus	85.0394	ortholog_one2one	ENSG00000162267	ENSP00000415769	homo_sapiens	84.9438	NULL	NULL	100	100.00	1	90024678
ENSMUSG00000020390	ENSMUSP00000020657	mus_musculus	100	ortholog_one2one	ENSG00000119048	ENSP00000265339	homo_sapiens	100	NULL	NULL	100	100.00	1	90024679
ENSMUSG00000079677	ENSMUSP00000010348	mus_musculus	83.908	ortholog_one2one	ENSG00000267673	ENSP00000377311	homo_sapiens	79.7814	NULL	NULL	100	100.00	1	90024680
ENSMUSG00000021115	ENSMUSP00000071922	mus_musculus	87.1212	ortholog_one2one	ENSG00000100749	ENSP00000216639	homo_sapiens	87.1212	NULL	NULL	100	96.87	1	90024681
ENSMUSG00000024378	ENSMUSP00000025236	mus_musculus	79.4643	ortholog_one2one	ENSG00000164211	ENSP00000296632	homo_sapiens	86.8293	NULL	NULL	100	100.00	1	90024682
ENSMUSG00000014932	ENSMUSP00000072154	mus_musculus	96.3031	ortholog_one2one	ENSG00000176105	ENSP00000324740	homo_sapiens	95.9484	NULL	NULL	0	100.00	1	90024683
ENSMUSG00000020914	ENSMUSP00000068896	mus_musculus	89.7251	ortholog_one2one	ENSG00000131747	ENSP00000411532	homo_sapiens	89.5493	NULL	NULL	100	100.00	1	90024684
ENSMUSG00000040824	ENSMUSP00000037597	mus_musculus	100	ortholog_one2one	ENSG00000125743	ENSP00000342374	homo_sapiens	100	NULL	NULL	100	100.00	1	90024685
ENSMUSG00000035686	ENSMUSP00000042988	mus_musculus	82.6667	ortholog_one2one	ENSG00000151365	ENSP00000281030	homo_sapiens	84.9315	NULL	NULL	100	100.00	1	90024686
ENSMUSG00000008035	ENSMUSP00000111186	mus_musculus	88.4615	ortholog_one2one	ENSG00000165175	ENSP00000483547	homo_sapiens	87.9781	NULL	NULL	100	100.00	1	90024687
ENSMUSG00000001029	ENSMUSP00000001055	mus_musculus	59.2058	ortholog_one2one	ENSG00000108622	ENSP00000464665	homo_sapiens	59.6364	NULL	NULL	100	100.00	1	90024688
ENSMUSG00000049643	ENSMUSP00000066803	mus_musculus	84.0194	ortholog_one2one	ENSG00000160392	ENSP00000508349	homo_sapiens	90.1299	NULL	NULL	100	98.53	1	90024689
ENSMUSG00000052430	ENSMUSP00000029948	mus_musculus	98.2072	ortholog_one2one	ENSG00000138696	ENSP00000426617	homo_sapiens	98.2072	NULL	NULL	75	100.00	1	90024690
ENSMUSG00000037411	ENSMUSP00000039586	mus_musculus	79.1045	ortholog_one2one	ENSG00000106366	ENSP00000223095	homo_sapiens	79.1045	NULL	NULL	100	100.00	1	90024691
ENSMUSG00000046807	ENSMUSP00000053085	mus_musculus	83.0065	ortholog_one2one	ENSG00000178026	ENSP00000320520	homo_sapiens	80.6349	NULL	NULL	75	100.00	1	90024692
ENSMUSG00000052214	ENSMUSP00000069965	mus_musculus	85.4749	ortholog_one2one	ENSG00000125741	ENSP00000263275	homo_sapiens	85.4749	NULL	NULL	100	100.00	1	90024693
ENSMUSG00000055670	ENSMUSP00000147028	mus_musculus	91.1615	ortholog_one2one	ENSG00000074755	ENSP00000371051	homo_sapiens	90.9152	NULL	NULL	100	100.00	1	90024694
ENSMUSG00000037278	ENSMUSP00000099532	mus_musculus	82.3864	ortholog_one2one	ENSG00000109084	ENSP00000226230	homo_sapiens	82.3864	NULL	NULL	100	100.00	1	90024695
ENSMUSG00000019256	ENSMUSP00000112137	mus_musculus	73.1677	ortholog_one2one	ENSG00000106546	ENSP00000242057	homo_sapiens	69.4576	NULL	NULL	100	100.00	1	90024696
ENSMUSG00000021575	ENSMUSP00000022059	mus_musculus	60.913	ortholog_one2one	ENSG00000063438	ENSP00000507476	homo_sapiens	61.2626	NULL	NULL	100	96.06	1	90024697
ENSMUSG00000000766	ENSMUSP00000077704	mus_musculus	80.9211	ortholog_one2one	ENSG00000112038	ENSP00000328264	homo_sapiens	92.25	NULL	NULL	100	100.00	1	90024698
ENSMUSG00000030045	ENSMUSP00000032124	mus_musculus	81.5069	ortholog_one2one	ENSG00000115364	ENSP00000377486	homo_sapiens	81.5069	NULL	NULL	100	99.90	1	90024699
ENSMUSG00000031621	ENSMUSP00000134368	mus_musculus	50.4132	ortholog_one2one	ENSG00000175329	ENSP00000386037	homo_sapiens	49.7959	NULL	NULL	50	100.00	0	90024700
ENSMUSG00000031645	ENSMUSP00000034064	mus_musculus	78.0449	ortholog_one2one	ENSG00000088926	ENSP00000384957	homo_sapiens	77.92	NULL	NULL	100	100.00	1	90024701
ENSMUSG00000020994	ENSMUSP00000021381	mus_musculus	92.6997	ortholog_one2one	ENSG00000100941	ENSP00000216832	homo_sapiens	93.8633	NULL	NULL	100	100.00	1	90024702
ENSMUSG00000003808	ENSMUSP00000003906	mus_musculus	92.5197	ortholog_one2one	ENSG00000179115	ENSP00000320309	homo_sapiens	92.5197	NULL	NULL	100	100.00	1	90024711
ENSMUSG00000024067	ENSMUSP00000126702	mus_musculus	97.9798	ortholog_one2one	ENSG00000162961	ENSP00000345837	homo_sapiens	97.9798	NULL	NULL	100	100.00	1	90024712
ENSMUSG00000063253	ENSMUSP00000080221	mus_musculus	65.6	ortholog_one2one	ENSG00000153130	ENSP00000477352	homo_sapiens	100	NULL	NULL	50	100.00	1	90024713
ENSMUSG00000007907	ENSMUSP00000008051	mus_musculus	61.6368	ortholog_one2one	ENSG00000145309	ENSP00000273936	homo_sapiens	61.0127	NULL	NULL	100	100.00	1	90024714
ENSMUSG00000070699	ENSMUSP00000092216	mus_musculus	86.1004	ortholog_one2one	ENSG00000104835	ENSP00000221431	homo_sapiens	86.1004	NULL	NULL	100	100.00	1	90024715
ENSMUSG00000068739	ENSMUSP00000088041	mus_musculus	95.8984	ortholog_one2one	ENSG00000031698	ENSP00000234677	homo_sapiens	95.5253	NULL	NULL	100	100.00	1	90024716
ENSMUSG00000068117	ENSMUSP00000154974	mus_musculus	77.2659	ortholog_one2one	ENSG00000167077	ENSP00000384115	homo_sapiens	80.2983	NULL	NULL	100	100.00	1	90024717
ENSMUSG00000024897	ENSMUSP00000025830	mus_musculus	92.9929	ortholog_one2one	ENSG00000107282	ENSP00000265381	homo_sapiens	93.5484	NULL	NULL	100	100.00	1	90024718
ENSMUSG00000024947	ENSMUSP00000109130	mus_musculus	95.2998	ortholog_one2one	ENSG00000133895	ENSP00000394933	homo_sapiens	96.3934	NULL	NULL	100	100.00	1	90024719
ENSMUSG00000020576	ENSMUSP00000036082	mus_musculus	85.9083	ortholog_one2one	ENSG00000151779	ENSP00000281513	homo_sapiens	85.3648	NULL	NULL	100	100.00	1	90024720
ENSMUSG00000026705	ENSMUSP00000107238	mus_musculus	100	ortholog_one2one	ENSG00000076321	ENSP00000209884	homo_sapiens	99.179	NULL	NULL	75	100.00	1	90024721
ENSMUSG00000042423	ENSMUSP00000145783	mus_musculus	95.4082	ortholog_one2one	ENSG00000156860	ENSP00000348489	homo_sapiens	95.4082	NULL	NULL	100	100.00	1	90024722
ENSMUSG00000026667	ENSMUSP00000027979	mus_musculus	99.284	ortholog_one2one	ENSG00000152332	ENSP00000420270	homo_sapiens	99.284	NULL	NULL	100	100.00	1	90024723
ENSMUSG00000013833	ENSMUSP00000101017	mus_musculus	91.7874	ortholog_one2one	ENSG00000175221	ENSP00000325612	homo_sapiens	86.6591	NULL	NULL	100	97.59	1	90024724
ENSMUSG00000025402	ENSMUSP00000026469	mus_musculus	95.619	ortholog_one2one	ENSG00000166886	ENSP00000300131	homo_sapiens	95.619	NULL	NULL	100	100.00	1	90024725
ENSMUSG00000002881	ENSMUSP00000066696	mus_musculus	92.7984	ortholog_one2one	ENSG00000138386	ENSP00000336894	homo_sapiens	92.6078	NULL	NULL	100	100.00	1	90024726
ENSMUSG00000021756	ENSMUSP00000138836	mus_musculus	77.2083	ortholog_one2one	ENSG00000134352	ENSP00000370698	homo_sapiens	77.1242	NULL	NULL	100	100.00	1	90024727
ENSMUSG00000037174	ENSMUSP00000141197	mus_musculus	91.9056	ortholog_one2one	ENSG00000109381	ENSP00000510098	homo_sapiens	91.9056	NULL	NULL	100	100.00	1	90024728
ENSMUSG00000015120	ENSMUSP00000134261	mus_musculus	100	ortholog_one2one	ENSG00000103275	ENSP00000380649	homo_sapiens	100	NULL	NULL	75	100.00	1	90024729
ENSMUSG00000023277	ENSMUSP00000024047	mus_musculus	96.5616	ortholog_one2one	ENSG00000247596	ENSP00000303908	homo_sapiens	96.5616	NULL	NULL	100	100.00	1	90024730
ENSMUSG00000022451	ENSMUSP00000023087	mus_musculus	94.8571	ortholog_one2one	ENSG00000151239	ENSP00000378886	homo_sapiens	94.8571	NULL	NULL	100	100.00	1	90024731
ENSMUSG00000038457	ENSMUSP00000130504	mus_musculus	77.1341	ortholog_one2one	ENSG00000184497	ENSP00000364502	homo_sapiens	77.6074	NULL	NULL	100	100.00	1	90024732
ENSMUSG00000025228	ENSMUSP00000039844	mus_musculus	100	ortholog_one2one	ENSG00000138107	ENSP00000358921	homo_sapiens	100	NULL	NULL	75	100.00	1	90024733
ENSMUSG00000037370	ENSMUSP00000114273	mus_musculus	80.1325	ortholog_one2one	ENSG00000197594	ENSP00000498074	homo_sapiens	78.4865	NULL	NULL	50	100.00	1	90024734
