human_ensembl_id,gene_name,mouse_ensembl_id,orthology_type,perc_id_human_to_mouse,perc_id_mouse_to_human,goc_score,wga_coverage
ENSG00000198888,MT-ND1,ENSMUSG00000064341,ortholog_one2one,77.044,77.044,50.0,100.0
ENSG00000198763,MT-ND2,ENSMUSG00000064345,ortholog_one2one,57.0605,57.3913,75.0,100.0
ENSG00000198804,MT-CO1,ENSMUSG00000064351,ortholog_one2one,90.8382,90.6615,100.0,100.0
ENSG00000198712,MT-CO2,ENSMUSG00000064354,ortholog_one2one,71.3656,71.3656,100.0,100.0
ENSG00000228253,MT-ATP8,ENSMUSG00000064356,ortholog_one2one,45.5882,46.2687,100.0,100.0
ENSG00000198899,MT-ATP6,ENSMUSG00000064357,ortholog_one2one,75.6637,75.6637,100.0,100.0
ENSG00000198938,MT-CO3,ENSMUSG00000064358,ortholog_one2one,86.9732,86.9732,100.0,100.0
ENSG00000198840,MT-ND3,ENSMUSG00000064360,ortholog_one2one,66.087,66.087,100.0,100.0
ENSG00000212907,MT-ND4L,ENSMUSG00000065947,ortholog_one2one,66.3265,66.3265,100.0,100.0
ENSG00000198886,MT-ND4,ENSMUSG00000064363,ortholog_one2one,66.8845,66.8845,100.0,100.0
ENSG00000198786,MT-ND5,ENSMUSG00000064367,ortholog_one2one,63.8474,63.4267,100.0,100.0
ENSG00000198695,MT-ND6,ENSMUSG00000064368,ortholog_one2one,52.2989,52.907,75.0,100.0
ENSG00000198727,MT-CYB,ENSMUSG00000064370,ortholog_one2one,78.1579,77.9528,50.0,100.0
ENSG00000184895,SRY,ENSMUSG00000069036,ortholog_one2one,34.3137,17.7215,0.0,46.62
ENSG00000154620,TMSB4Y,ENSMUSG00000049775,ortholog_one2one,93.1818,93.1818,0.0,100.0
ENSG00000067048,DDX3Y,ENSMUSG00000069045,ortholog_one2one,89.0909,89.3617,25.0,100.0
ENSG00000114374,USP9Y,ENSMUSG00000069044,ortholog_one2one,82.6614,82.6291,25.0,98.85
ENSG00000183878,UTY,ENSMUSG00000068457,ortholog_one2one,67.6593,80.6106,0.0,4.41
ENSG00000012817,KDM5D,ENSMUSG00000056673,ortholog_one2one,80.7667,80.2972,0.0,100.0
ENSG00000154646,TMPRSS15,ENSMUSG00000022857,ortholog_one2one,75.0736,71.5622,100.0,99.2
ENSG00000156282,CLDN17,ENSMUSG00000055811,ortholog_one2one,81.6964,81.6964,100.0,100.0
ENSG00000188694,KRTAP24-1,ENSMUSG00000050239,ortholog_one2one,59.0551,60.4839,100.0,100.0
ENSG00000154654,NCAM2,ENSMUSG00000022762,ortholog_one2one,93.6679,93.6679,100.0,100.0
ENSG00000156284,CLDN8,ENSMUSG00000050520,ortholog_one2one,82.6667,82.6667,100.0,100.0
ENSG00000159256,MORC3,ENSMUSG00000039456,ortholog_one2one,82.9606,82.6964,100.0,100.0
ENSG00000154645,CHODL,ENSMUSG00000022860,ortholog_one2one,85.348,79.7945,100.0,96.96
ENSG00000223078,RNU2-55P,ENSMUSG00000084610,ortholog_one2one,39.6552,43.6709,,0.0
ENSG00000283300,U6,ENSMUSG00000064964,ortholog_one2one,60.7143,48.5714,,0.0
ENSG00000159263,SIM2,ENSMUSG00000062713,ortholog_one2one,89.6552,91.0198,100.0,100.0
ENSG00000183145,RIPPLY3,ENSMUSG00000022941,ortholog_one2one,53.6842,67.1053,100.0,100.0
ENSG00000212136,RNU6-696P,ENSMUSG00000089422,ortholog_one2one,68.2243,73.7374,,0.0
ENSG00000160208,RRP1B,ENSMUSG00000058392,ortholog_one2one,60.9499,63.8122,50.0,99.39
ENSG00000160216,AGPAT3,ENSMUSG00000001211,ortholog_one2one,92.2872,92.2872,100.0,100.0
ENSG00000183036,PCP4,ENSMUSG00000090223,ortholog_one2one,96.7742,96.7742,100.0,100.0
ENSG00000171587,DSCAM,ENSMUSG00000050272,ortholog_one2one,98.4095,98.3607,75.0,100.0
ENSG00000183421,RIPK4,ENSMUSG00000005251,ortholog_one2one,90.5612,90.3308,100.0,100.0
ENSG00000160181,TFF2,ENSMUSG00000024028,ortholog_one2one,81.3953,81.3953,100.0,100.0
ENSG00000160182,TFF1,ENSMUSG00000024032,ortholog_one2one,64.2857,62.069,100.0,100.0
ENSG00000160185,UBASH3A,ENSMUSG00000042345,ortholog_one2one,78.5174,83.1731,100.0,98.26
