ensembl_gene_id,chromosome,start_position,arm,chr_arm
ENSG00000184895,Y,2786855,p,Yp
ENSG00000154620,Y,13703899,q,Yq
ENSG00000067048,Y,12904108,q,Yq
ENSG00000114374,Y,12537650,q,Yq
ENSG00000183878,Y,13234577,q,Yq
ENSG00000012817,Y,19703865,q,Yq
ENSG00000154646,21,18269116,q,21q
ENSG00000156282,21,30165565,q,21q
ENSG00000188694,21,30281309,q,21q
ENSG00000154654,21,20998409,q,21q
ENSG00000156284,21,30214006,q,21q
ENSG00000159256,21,36320189,q,21q
ENSG00000154645,21,17901263,q,21q
ENSG00000223078,21,23281736,q,21q
ENSG00000283300,21,28743208,q,21q
ENSG00000159263,21,36699115,q,21q
ENSG00000183145,21,37006150,q,21q
ENSG00000212136,21,37045530,q,21q
ENSG00000160208,21,43659560,q,21q
ENSG00000160216,21,43865223,q,21q
ENSG00000183036,21,39867438,q,21q
ENSG00000171587,21,40010999,q,21q
ENSG00000183421,21,41739369,q,21q
ENSG00000160181,21,42346357,q,21q
ENSG00000160182,21,42362282,q,21q
ENSG00000160185,21,42403447,q,21q
ENSG00000142182,21,44246339,q,21q
ENSG00000160226,21,44328944,q,21q
ENSG00000266692,21,44437121,q,21q
ENSG00000264452,21,44439035,q,21q
ENSG00000221398,21,34456110,q,21q
ENSG00000184221,21,33070141,q,21q
ENSG00000177398,21,42062959,q,21q
ENSG00000183640,21,30812697,q,21q
ENSG00000274749,21,30829039,q,21q
ENSG00000182591,21,30880644,q,21q
ENSG00000188992,21,14108813,q,21q
ENSG00000160294,21,46235133,q,21q
ENSG00000204899,13,72708367,q,13q
ENSG00000165837,13,45534522,q,13q
ENSG00000150361,13,69700594,q,13q
ENSG00000182670,21,37073226,q,21q
ENSG00000150893,13,38687077,q,13q
ENSG00000174015,13,45702320,q,13q
ENSG00000152192,13,78598362,q,13q
ENSG00000188811,13,39038306,q,13q
ENSG00000102837,13,53028813,q,13q
ENSG00000139734,13,59665583,q,13q
ENSG00000197683,21,30319124,q,21q
ENSG00000206107,21,30337013,q,21q
ENSG00000186970,21,30440275,q,21q
ENSG00000252273,21,16035413,q,21q
ENSG00000207638,21,16539089,q,21q
ENSG00000199030,21,16539828,q,21q
ENSG00000239023,21,16718998,q,21q
ENSG00000160299,21,46324124,q,21q
ENSG00000159140,21,33543038,q,21q
ENSG00000118946,13,57631744,q,13q
ENSG00000136141,13,46553168,q,13q
ENSG00000184564,13,85792790,q,13q
ENSG00000182968,13,112067149,q,13q
ENSG00000041515,13,108596152,q,13q
ENSG00000180530,21,14961235,q,21q
ENSG00000159200,21,34513142,q,21q
ENSG00000185950,13,109752695,q,13q
ENSG00000153498,13,112376355,q,13q
ENSG00000204442,13,107163510,q,13q
