Gene stable ID,Gene name,Human gene name,Human homology type
ENSMFAG00000055330,,,
ENSMFAG00000052166,,,
ENSMFAG00000048966,,,
ENSMFAG00000056376,,,
ENSMFAG00000063704,,,
ENSMFAG00000065171,,,
ENSMFAG00000051495,,,
ENSMFAG00000056526,,,
ENSMFAG00000053335,,,
ENSMFAG00000056475,,,
ENSMFAG00000060697,,,
ENSMFAG00000051144,,,
ENSMFAG00000059047,,,
ENSMFAG00000050739,,,
ENSMFAG00000052598,,,
ENSMFAG00000058382,,,
ENSMFAG00000049865,,,
ENSMFAG00000057779,,,
ENSMFAG00000026972,,,
ENSMFAG00000053016,,,
ENSMFAG00000049236,,,
ENSMFAG00000054808,,,
ENSMFAG00000044637,PGBD2,PGBD2,ortholog_one2one
ENSMFAG00000062363,,,
ENSMFAG00000035123,Y_RNA,Y_RNA,ortholog_one2one
ENSMFAG00000018105,,,ortholog_one2one
ENSMFAG00000032500,TCEANC2,TCEANC2,ortholog_one2one
ENSMFAG00000000628,MEX3A,MEX3A,ortholog_one2one
ENSMFAG00000065280,U6,,
ENSMFAG00000030252,U1,RNVU1-21,ortholog_one2many
ENSMFAG00000030252,U1,RNVU1-22,ortholog_one2many
ENSMFAG00000000115,RAB25,RAB25,ortholog_one2one
ENSMFAG00000014351,U6,RNU6-592P,ortholog_one2one
ENSMFAG00000048980,U1,,
ENSMFAG00000058530,Metazoa_SRP,,
ENSMFAG00000065130,,,
ENSMFAG00000017869,,RPL34,ortholog_one2many
ENSMFAG00000063026,,,
ENSMFAG00000033997,LAMC1,LAMC1,ortholog_one2one
ENSMFAG00000049486,Metazoa_SRP,,
ENSMFAG00000048079,Metazoa_SRP,Metazoa_SRP,ortholog_one2many
ENSMFAG00000050711,Metazoa_SRP,,
ENSMFAG00000039587,ACTRT3,ACTRT3,ortholog_one2one
ENSMFAG00000060721,U6,RNU6-723P,ortholog_one2one
ENSMFAG00000029324,AK4,AK4P3,ortholog_one2many
ENSMFAG00000029324,AK4,AK4,ortholog_one2many
ENSMFAG00000059375,Metazoa_SRP,,
ENSMFAG00000036171,,SLC39A1,ortholog_one2many
ENSMFAG00000055309,Metazoa_SRP,,
ENSMFAG00000040959,GJA8,GJA8,ortholog_one2one
ENSMFAG00000011984,U6,RNU6-1205P,ortholog_one2one
ENSMFAG00000063946,,,
ENSMFAG00000017252,MIR30C1,MIR30C1,ortholog_one2one
ENSMFAG00000055245,,,
ENSMFAG00000041380,KLF17,KLF17,ortholog_one2one
ENSMFAG00000062961,,,
ENSMFAG00000016426,U8,U8,ortholog_one2one
ENSMFAG00000059009,Metazoa_SRP,,
ENSMFAG00000049956,,,
ENSMFAG00000054875,CTTNBP2NL,CTTNBP2NL,ortholog_one2one
ENSMFAG00000002199,NEXN,NEXN,ortholog_one2one
ENSMFAG00000038045,ABHD10,ABHD10,ortholog_one2one
ENSMFAG00000022133,PPP2R3A,PPP2R3A,ortholog_one2one
ENSMFAG00000060157,,,
ENSMFAG00000012995,MIR101-1,MIR101-1,ortholog_one2one
ENSMFAG00000039056,ZNF692,ZNF692,ortholog_one2one
ENSMFAG00000009013,Metazoa_SRP,RN7SL479P,ortholog_one2one
ENSMFAG00000051235,,,
ENSMFAG00000036601,RCC2,RCC2,ortholog_one2one
ENSMFAG00000062128,,,
ENSMFAG00000017312,U6,RNU6-1176P,ortholog_one2one
ENSMFAG00000034575,MYNN,MYNN,ortholog_one2one
ENSMFAG00000047304,,,
ENSMFAG00000018627,GJA5,GJA5,ortholog_one2one
ENSMFAG00000058848,,,
ENSMFAG00000035079,U6,RNU6-1304P,ortholog_one2one
ENSMFAG00000048828,Metazoa_SRP,,
ENSMFAG00000001270,WARS2,WARS2,ortholog_one2one
ENSMFAG00000057531,,,
ENSMFAG00000053574,,,
ENSMFAG00000054572,,,
