human_ensembl_id,human_gene_name,lemur_ensembl_id
ENSG00000198888,MT-ND1,ENSMICG00000037902
ENSG00000198763,MT-ND2,ENSMICG00000038730
ENSG00000198804,MT-CO1,ENSMICG00000028845
ENSG00000198712,MT-CO2,ENSMICG00000029103
ENSG00000228253,MT-ATP8,ENSMICG00000029115
ENSG00000198899,MT-ATP6,ENSMICG00000036548
ENSG00000198938,MT-CO3,ENSMICG00000031598
ENSG00000198840,MT-ND3,ENSMICG00000027348
ENSG00000212907,MT-ND4L,ENSMICG00000037683
ENSG00000198886,MT-ND4,ENSMICG00000032407
ENSG00000198786,MT-ND5,ENSMICG00000026565
ENSG00000198695,MT-ND6,ENSMICG00000028801
ENSG00000198727,MT-CYB,ENSMICG00000037851
ENSG00000067048,DDX3Y,ENSMICG00000045639
ENSG00000154646,TMPRSS15,ENSMICG00000001943
ENSG00000154654,NCAM2,ENSMICG00000001626
ENSG00000159256,MORC3,ENSMICG00000007884
ENSG00000154645,CHODL,ENSMICG00000001940
ENSG00000278189,RNA5-8SN1,ENSMICG00000042697
ENSG00000252963,RN7SKP147,ENSMICG00000026149
ENSG00000212609,RNU1-139P,ENSMICG00000018181
ENSG00000199698,Y_RNA,ENSMICG00000042856
ENSG00000200792,SNORA80A,ENSMICG00000022625
ENSG00000211590,MIR802,ENSMICG00000019100
ENSG00000159263,SIM2,ENSMICG00000013168
ENSG00000183145,RIPPLY3,ENSMICG00000031167
ENSG00000160208,RRP1B,ENSMICG00000004686
ENSG00000160216,AGPAT3,ENSMICG00000047320
ENSG00000183036,PCP4,ENSMICG00000015516
ENSG00000171587,DSCAM,ENSMICG00000042048
ENSG00000183421,RIPK4,ENSMICG00000038490
ENSG00000160181,TFF2,ENSMICG00000011183
ENSG00000160182,TFF1,ENSMICG00000045652
ENSG00000160185,UBASH3A,ENSMICG00000000050
ENSG00000234289,H2BC12L,ENSMICG00000047441
ENSG00000142182,DNMT3L,ENSMICG00000048144
ENSG00000160226,CFAP410,ENSMICG00000026921
ENSG00000221398,,ENSMICG00000022128
ENSG00000184221,OLIG1,ENSMICG00000028171
ENSG00000177398,UMODL1,ENSMICG00000016376
ENSG00000182591,KRTAP11-1,ENSMICG00000010543
ENSG00000206102,KRTAP19-8,ENSMICG00000044709
ENSG00000188992,LIPI,ENSMICG00000004142
ENSG00000160294,MCM3AP,ENSMICG00000000801
ENSG00000150361,KLHL1,ENSMICG00000005245
ENSG00000182670,TTC3,ENSMICG00000006423
ENSG00000150893,FREM2,ENSMICG00000003191
ENSG00000174015,CBY2,ENSMICG00000037001
ENSG00000152192,POU4F1,ENSMICG00000011538
ENSG00000188811,NHLRC3,ENSMICG00000010249
ENSG00000102837,OLFM4,ENSMICG00000001798
ENSG00000139734,DIAPH3,ENSMICG00000011388
ENSG00000244362,KRTAP19-7,ENSMICG00000031600
ENSG00000201025,SNORD74B,ENSMICG00000021308
ENSG00000207638,MIR99A,ENSMICG00000019689
ENSG00000199030,MIRLET7C,ENSMICG00000018983
ENSG00000207863,MIR125B2,ENSMICG00000033176
ENSG00000239023,RNU1-98P,ENSMICG00000043417
ENSG00000186930,KRTAP6-2,ENSMICG00000034660
ENSG00000184724,KRTAP6-1,ENSMICG00000034583
ENSG00000160299,PCNT,ENSMICG00000000816
ENSG00000159140,SON,ENSMICG00000033920
ENSG00000118946,PCDH17,ENSMICG00000008032
ENSG00000136141,LRCH1,ENSMICG00000000870
ENSG00000182968,SOX1,ENSMICG00000026656
ENSG00000041515,MYO16,ENSMICG00000000221
ENSG00000159200,RCAN1,ENSMICG00000011975
ENSG00000185950,IRS2,ENSMICG00000028364
ENSG00000153498,SPACA7,ENSMICG00000047839
ENSG00000204442,NALF1,ENSMICG00000007531
ENSG00000185974,GRK1,ENSMICG00000010545
ENSG00000122042,UBL3,ENSMICG00000033508
ENSG00000171189,GRIK1,ENSMICG00000000648
ENSG00000179813,FAM216B,ENSMICG00000007430
ENSG00000252397,RNU5A-4P,ENSMICG00000025998
ENSG00000251715,,ENSMICG00000025280
ENSG00000206697,RNY1P8,ENSMICG00000044544
ENSG00000222486,RNU6-77P,ENSMICG00000046096
ENSG00000206812,RNU6-38P,ENSMICG00000043014
ENSG00000252550,,ENSMICG00000033066
ENSG00000207157,RNY3P4,ENSMICG00000042841
ENSG00000198553,KCNRG,ENSMICG00000042205
ENSG00000283785,MIR15A,ENSMICG00000019256
ENSG00000150510,FAM124A,ENSMICG00000008100
ENSG00000189167,ZAR1L,ENSMICG00000037332
ENSG00000243927,MRPS6,ENSMICG00000027621
ENSG00000133111,RFXAP,ENSMICG00000030008
ENSG00000215475,SIAH3,ENSMICG00000028829
ENSG00000175820,CCDC168,ENSMICG00000033295
ENSG00000253051,SNORA31B,ENSMICG00000037997
ENSG00000199477,SNORA31,ENSMICG00000019858
ENSG00000178235,SLITRK1,ENSMICG00000005389
ENSG00000120696,KBTBD7,ENSMICG00000014566
ENSG00000166265,CYYR1,ENSMICG00000032849
ENSG00000125249,RAP2A,ENSMICG00000041924
ENSG00000160202,CRYAA,ENSMICG00000035380
ENSG00000222726,RNU2-7P,ENSMICG00000022921
ENSG00000180730,SHISA2,ENSMICG00000045032
ENSG00000133105,RXFP2,ENSMICG00000011921
ENSG00000073910,FRY,ENSMICG00000011937
ENSG00000207325,RNY1P4,ENSMICG00000021317
ENSG00000206920,RNY1P6,ENSMICG00000023631
ENSG00000242893,RN7SL413P,ENSMICG00000034774
ENSG00000102524,TNFSF13B,ENSMICG00000000219
ENSG00000132932,ATP8A2,ENSMICG00000000413
ENSG00000151835,SACS,ENSMICG00000034895
ENSG00000231824,AKAIN1,ENSMICG00000034961
ENSG00000132874,SLC14A2,ENSMICG00000017495
ENSG00000178695,KCTD12,ENSMICG00000002666
ENSG00000102805,CLN5,ENSMICG00000036480
ENSG00000134489,HRH4,ENSMICG00000027852
ENSG00000253309,SERPINE3,ENSMICG00000029125
ENSG00000177511,ST8SIA3,ENSMICG00000003063
ENSG00000139780,METTL21C,ENSMICG00000010237
ENSG00000125255,SLC10A2,ENSMICG00000010300
ENSG00000199605,RNY4P24,ENSMICG00000046976
ENSG00000139675,HNRNPA1L2,ENSMICG00000030696
ENSG00000081138,CDH7,ENSMICG00000031244
ENSG00000043355,ZIC2,ENSMICG00000015310
ENSG00000139800,ZIC5,ENSMICG00000044440
ENSG00000169840,GSX1,ENSMICG00000044124
ENSG00000166603,MC4R,ENSMICG00000038383
ENSG00000139515,PDX1,ENSMICG00000043487
ENSG00000172915,NBEA,ENSMICG00000031103
ENSG00000101542,CDH20,ENSMICG00000032447
ENSG00000141428,C18orf21,ENSMICG00000011596
ENSG00000141424,SLC39A6,ENSMICG00000029254
ENSG00000102678,FGF9,ENSMICG00000029695
ENSG00000166573,GALR1,ENSMICG00000036654
ENSG00000244197,RN7SL766P,ENSMICG00000036526
ENSG00000197971,MBP,ENSMICG00000004041
ENSG00000120659,TNFSF11,ENSMICG00000028647
ENSG00000253710,ALG11,ENSMICG00000033695
ENSG00000173988,LRRC63,ENSMICG00000038107
ENSG00000280165,PCDH20,ENSMICG00000032560
ENSG00000212293,,ENSMICG00000020487
ENSG00000132972,RNF17,ENSMICG00000010364
ENSG00000102471,NDFIP2,ENSMICG00000026359
ENSG00000251994,RNU2-27P,ENSMICG00000023195
ENSG00000212626,,ENSMICG00000041827
ENSG00000207797,MIR187,ENSMICG00000019200
ENSG00000202468,RNU4-17P,ENSMICG00000042764
ENSG00000252555,RNU6-567P,ENSMICG00000043708
ENSG00000239748,RN7SL795P,ENSMICG00000035414
