gene_name,human_ensembl_id,pct_identity,mean_expression_divergence
MRPL19,ENSG00000115364,81.5069,0.0285593004500464
MRPL37,ENSG00000116221,79.9054,0.0340673516878628
MRPL1,ENSG00000169288,76.87450000000001,0.0610488631692954
MRPS25,ENSG00000131368,88.9565,0.0193714551496795
MRPS9,ENSG00000135972,77.61265,0.0199683962119633
MRPL20,ENSG00000242485,87.9195,0.0728806002643768
MRPL57,ENSG00000173141,83.3333,0.0579504446415253
RPS15A,ENSG00000134419,100.0,0.3132998564776928
MRPL41,ENSG00000182154,76.47470000000001,0.0480213390888513
RPS6KA3,ENSG00000177189,99.8649,0.0923754240903775
MRPL13,ENSG00000172172,89.3258,0.0269657444568051
RPL14,ENSG00000188846,85.187,0.2699931315921374
MRPL42,ENSG00000198015,76.0563,0.0275718387051212
RPS11,ENSG00000142534,100.0,0.2372376712298223
RPS6KB1,ENSG00000108443,99.4286,0.0326221494068588
RPL7L1,ENSG00000146223,82.26205,0.0428564650760463
MRPS6,ENSG00000243927,85.6,0.0696564044644761
RPS16,ENSG00000105193,100.0,0.2636966300656639
RPS6KA1,ENSG00000117676,98.5034,0.0466285578328046
RPS6KA4,ENSG00000162302,96.0518,0.0220289666688672
MRPL43,ENSG00000055950,82.3899,0.0409380915289603
RPS14,ENSG00000164587,100.0,0.2823152148080837
RPL37,ENSG00000145592,100.0,0.2919169072240643
MRPL11,ENSG00000174547,87.5,0.0324723826325437
RPP14,ENSG00000163684,84.55845,0.0085571500965412
RPL39,ENSG00000198918,100.0,0.3079292747051214
MRPS30,ENSG00000112996,73.3266,0.0220733430919985
RPL15,ENSG00000174748,100.0,0.2642667808413371
MRPL15,ENSG00000137547,90.0172,0.0315301886278396
MRPS16,ENSG00000182180,90.44605,0.0413633191235452
RPL23,ENSG00000125691,100.0,0.2564215959359799
MRPL49,ENSG00000149792,83.1325,0.0205007697102407
MRPL12,ENSG00000262814,85.7191,0.0435516611187932
MRPL32,ENSG00000106591,71.46719999999999,0.0387615349590811
RPL10A,ENSG00000198755,100.0,0.2944226291681955
RPS6KA2,ENSG00000071242,95.6344,0.090666603374201
MRPS33,ENSG00000090263,82.0755,0.0402625764969233
MRPL44,ENSG00000135900,85.7145,0.0175944212280922
RPL22,ENSG00000116251,99.2188,0.2034244243497665
RPL36,ENSG00000130255,100.0,0.2643554645740408
RPS6KB2,ENSG00000175634,92.8654,0.0416631081643249
MRPL38,ENSG00000204316,86.5789,0.0134384840013234
RPP25,ENSG00000178718,87.9397,0.0110025261837114
RPP25L,ENSG00000164967,94.4785,0.0162955957981498
MRPL45,ENSG00000278845,79.7386,0.0306842036602896
RPS18,ENSG00000231500,100.0,0.3237034406391049
MRPS21,ENSG00000266472,89.6552,0.0623796174057007
MRPL14,ENSG00000180992,84.8276,0.0560544527713256
MRPL17,ENSG00000158042,84.33115000000001,0.0226226604904121
MRPL51,ENSG00000111639,81.25,0.0698080313872076
MRPL50,ENSG00000136897,77.6033,0.0236363198149001
RPS28,ENSG00000233927,100.0,0.3050436703165745
MRPS23,ENSG00000181610,72.025,0.0275120773212246
RPL36A,ENSG00000241343,100.0,0.1603148851869217
RPS6,ENSG00000137154,100.0,0.2737226606865203
RPL34,ENSG00000109475,99.1453,0.3002397499866613
MRPL46,ENSG00000259494,80.07525000000001,0.0130270783576505
MRPL16,ENSG00000166902,84.4622,0.0620359438385734
RPS5,ENSG00000083845,99.0196,0.2945842503137608
RPL11,ENSG00000142676,100.0,0.2843595782525386
MRPS28,ENSG00000147586,72.9228,0.025525685634966
MRPS10,ENSG00000048544,81.592,0.0277515983432564
MRPS18B,ENSG00000204568,77.73915,0.0349982112821077
RPS6KA6,ENSG00000072133,88.3066,0.0098319139193321
RPL35A,ENSG00000182899,99.0909,0.2896895915194636
MRPS7,ENSG00000125445,84.7107,0.0302730800947861
RPL37A,ENSG00000197756,100.0,0.271290462802414
MRPS27,ENSG00000113048,76.47774999999999,0.0263928431287601
RPL12,ENSG00000197958,99.3939,0.2973021696598984
RPL32,ENSG00000144713,100.0,0.3083857625791755
MRPS2,ENSG00000122140,70.1925,0.0204382293143559
MRPL27,ENSG00000108826,83.1081,0.0348142547488963
RPS2,ENSG00000140988,98.6348,0.3092504662334577
RPL36AL,ENSG00000165502,94.3396,0.243965562191803
MRPS31,ENSG00000102738,65.73840000000001,0.0339850911514505
RPS20,ENSG00000008988,100.0,0.2183587576175835
MRPS22,ENSG00000175110,78.99875,0.022116405216334
MRPL3,ENSG00000114686,82.1839,0.0456353223736305
RPS13,ENSG00000110700,100.0,0.2909986111232336
RPP38,ENSG00000152464,76.37870000000001,0.0181246996550733
RPL13,ENSG00000167526,98.1043,0.3148103411873378
MRPS24,ENSG00000062582,83.8323,0.0303792929102228
MRPS34,ENSG00000074071,89.4495,0.0593630053985463
RPP21,ENSG00000241370,79.61905,0.0157156410089106
MRPL55,ENSG00000162910,69.5021,0.0386868484349513
RPS17,ENSG00000182774,99.2593,0.1501156415998273
RPS23,ENSG00000186468,100.0,0.3118199731915531
RPL18A,ENSG00000105640,99.4318,0.2974058171186836
RPS21,ENSG00000171858,95.1807,0.276795786511419
RPL26,ENSG00000161970,100.0,0.2656977163195651
MRPL33,ENSG00000243147,76.9231,0.0715715032042133
RPL4,ENSG00000174444,93.62535,0.2344362912668144
MRPL54,ENSG00000183617,68.87275,0.0504965792768059
RPS19BP1,ENSG00000187051,75.31625,0.0612712918901753
MRPS12,ENSG00000128626,85.19964999999999,0.0336730419415935
MRPS26,ENSG00000125901,67.66465,0.0312246102928394
RPL5,ENSG00000122406,98.3165,0.2868941414679778
RPS27L,ENSG00000185088,100.0,0.1256705209166785
RPS27A,ENSG00000143947,99.359,0.3201617649357263
MRPL9,ENSG00000143436,80.45224999999999,0.0275527119867577
MRPL30,ENSG00000185414,82.86685,0.0302756296594763
RPS9,ENSG00000170889,100.0,0.2722838046048444
RPS15,ENSG00000115268,100.0,0.2711580752037012
MRPS18C,ENSG00000163319,79.29925,0.0375746185162503
MRPL22,ENSG00000082515,89.3204,0.035100938367461
MRPS18A,ENSG00000096080,80.6122,0.0270535304935437
MRPL48,ENSG00000175581,80.85155,0.0202613662581074
MRPS11,ENSG00000181991,71.69265,0.0211021662308799
MRPL21,ENSG00000197345,80.2007,0.0329982589593902
MRPL4,ENSG00000105364,78.73984999999999,0.0321329766278251
MRPL24,ENSG00000143314,87.963,0.0261165184273486
RPL3,ENSG00000100316,98.5112,0.3222193658645912
RPL3L,ENSG00000140986,95.5774,0.0067496960879648
RPL6,ENSG00000089009,87.6877,0.2653780013531063
RPL23A,ENSG00000198242,100.0,0.2500489227397559
MRPL10,ENSG00000159111,78.01175,0.0306939094132677
RPL22L1,ENSG00000163584,95.9016,0.1174516466467915
RPS6KC1,ENSG00000136643,78.7011,0.0565752922737329
MRPL52,ENSG00000172590,83.129,0.078220084011369
MRPL18,ENSG00000112110,83.3333,0.058252384865195
RPL13A,ENSG00000142541,95.5665,0.2589077016146945
MRPL34,ENSG00000130312,75.0,0.0323808416660673
RPL8,ENSG00000161016,100.0,0.2849685851075376
MRPL2,ENSG00000112651,84.1246,0.0163305603281356
MRPL53,ENSG00000204822,84.40525,0.0095831485627152
MRPS35,ENSG00000061794,76.20695,0.0403358481170773
RPL19,ENSG00000108298,100.0,0.2922500865999637
RPS7,ENSG00000171863,100.0,0.2848523520142706
MRPL47,ENSG00000136522,77.29204999999999,0.0275068271231544
RPL27A,ENSG00000166441,97.2973,0.2163990937822729
MRPL39,ENSG00000154719,84.57045,0.0190260896591222
MRPS17,ENSG00000239789,83.33335,0.023055919529547
RPL7A,ENSG00000148303,99.6241,0.3054005773208809
MRPS5,ENSG00000144029,79.81479999999999,0.0150580555118313
RPL10L,ENSG00000165496,94.8598,0.0010617653890446
RPL10,ENSG00000147403,99.5327,0.3381930371654708
RPL38,ENSG00000172809,98.5714,0.2210445188999476
RPL28,ENSG00000108107,98.5401,0.2899778053785606
MRPL58,ENSG00000167862,79.6116,0.0199240157646418
RPS6KL1,ENSG00000198208,79.05015,0.003019426403387
MRPL40,ENSG00000185608,75.2427,0.0377829537816434
RPS8,ENSG00000142937,100.0,0.3129032277039884
RPS6KA5,ENSG00000100784,96.2506,0.0629030614269417
MRPS15,ENSG00000116898,62.5245,0.0441551326970918
MRPS14,ENSG00000120333,86.7188,0.0330802482981419
MRPL35,ENSG00000132313,76.5957,0.0170232941115215
RPP40,ENSG00000124787,84.022,0.010947299247203
MRPL36,ENSG00000171421,59.5136,0.0375571342828596
MRPL28,ENSG00000086504,84.21085,0.0325429383537804
RPL27,ENSG00000131469,100.0,0.2297880872856186
RPP30,ENSG00000148688,90.2985,0.015873884996712
